Title;Reason;DT Definition;modeling language;model type;model processing technique;model usage technique;source;target;purpose of MDE application;purpose of DT;use case domain;system lifecycle phase;twinning target;twin lifecycle phase;purpose /expected benefit of using models;open challenges;Technological Readiness Level;notes;Use Case;Reviewer
A data- and model-driven approach for cancer treatment;No MDE application;;;;;;;;;;;;;;;;;;;Daniel
A digital twin-driven hybrid approach for the prediction of performance degradation in transmission unit of CNC machine tool;;"""an organic combination of physical products, virtual products and the correlation between them""";"not specified; used tools are SolidWorks, Ansys, Abaqus and Mworks (and more, which are not mentioned explicitly)";;Model Interpretation;;runtime data;3D simulation model;the model is updated based on the runtime data;optimize system through simulation;C  Manufacturing;Operate;Individual Systems;As-Designed;simulation;;TRL 4-6;"runtime data combined with design time model -> as-designed + as-operated, but the mde part happens during operation; 
borderline paper (see arrows in last figure)";CNC machine;Daniel
A digital twin-driven hybrid approach for the prediction of performance degradation in transmission unit of CNC machine tool;;;;;;;;;;;;;;As-Operated;;;;;;Daniel
A multi-model ensemble digital twin solution for real-time unsteady flow state estimation of a pumping station;No MDE application;;;;;;;;;;;;;;;;;purely mathematical modeling;;Daniel
A virtual model knowledge updating method driven by data;;Not specified;"Not specified; The authors only mention a ""Virtual Model"" containing a ""Geometric, Rule, Behavior, Physical model""";;Model Interpretation;;Runtime Data;Virtual Model;Update virtual model with runtime data;virtual model representing PT;C  Manufacturing;Operate;Individual Systems;As-Designed;;;TRL 4-6;"runtime data combined with design time model -> as-designed + as-operated, but the mde part happens during operation; 
borderline paper (see arrows in last figure)";Gripping Robots, IRB120 robot, KUKA;Daniel
A virtual model knowledge updating method driven by data;;;;;;;;;;;;;;As-Operated;;;;;;Daniel
An EV-Traction Inverter Data-Driven Modelling for Digital Twin Development;No MDE application;;;;;;;;;;;;;;;;;ML Model is generated from Data + ML Algorithm;;Daniel
Classification and Mapping of Layout Algorithms for Usage in Graph-like Modeling Languages;No MDE application;;;;;;;;;;;;;;;;;Only Modeling, no MDE technique applied;;Daniel
Concept of a Modular and System Model Driven Digital Twin for Engineering Education;No MDE application;;;;;;;;;;;;;;;;;Very generic description. Although the authors mention some potential MDE applications, I don't really find data that could be extracted here;;Daniel
Data-Driven Methodology to Support Long-Lasting Logistics and Decision Making for Urban Last-Mile Operations;No MDE application;;;;;;;;;;;;;;;;;Only Data-Driven Modeling/Description of the Performance of a Data-Driven Model;;Daniel
Decentralized Autonomous Operations and Organizations in TransVerse: Federated Intelligence for Smart Mobility;No MDE application;;;;;;;;;;;;;;;;;Just Modeling;;Daniel
Digital Behavioral Twins for Safe Connected Cars;No MDE application;;;;;;;;;;;;;;;;;Just Modeling;;Daniel
Digital modeling-driven chatter suppression for thin-walled part manufacturing;No MDE application;;;;;;;;;;;;;;;;;Just Modeling;;Daniel
Digital Twin Driven Green Performance Evaluation Methodology of Intelligent Manufacturing: Hybrid Model Based on Fuzzy Rough-Sets AHP, Multistage Weight Synthesis, and PROMETHEE II;No MDE application;;;;;;;;;;;;;;;;;"Just Modeling; One could argue that the model is updated based on runtime data, but this is just a side aspect, i.e., no details are given on this aspect in the paper";;Daniel
Digital Twins for Sustainable Software Systems;Opinion Paper;;;;;;;;;;;;;;;;;"Section 3 is entitled ""A Vision Towards"", and the abstract mentions that the contents of the paper only provide a ""suggestion""";;Daniel
Dynamic Runtime Integration of New Models in Digital Twins;Borderline No MDE or live data interpreted by FMU;""" virtual
replicas of the physical components and reflecting the behaviour
of the running system in real-time""";;;;;;;;;;;;;;;;;;Daniel
EMF-Syncer: scalable maintenance of view models over heterogeneous data-centric software systems at run time;No DT used;;UML Class Diagrams;;Model Interpretation;;UML CD;EMF Syncer;Load runtime state;;;Operate;;As-Operated;;;;only minimalistic example with a Customer who has an Address is given;;Daniel
GRuM-A flexible model-driven runtime monitoring framework and its application to automated aerial and ground vehicles;No DT used;;;;Model Interpretation;;UML CD;EMF Syncer;Update design time model with runtime state;;;;;;;;;;;Daniel
On the Notion of Digital Twins: A Modeling Perspective;Opinion Paper;;;;;;;;;;;;;;;;;;;Daniel
Reliable Counterparts: Efficiently Testing Causal Relationships in Digital Twins;;"""Digital twins rely on models to accurately represent their physical counterpart, accepting real-time data from the coupled physical system and relaying feedback to provide more informed functionality""";Causal Directed Acyclic Graphs (no language defined);;Model Interpretation;;Causal Directed Acyclic Graphs;Runtime Data;sync DAG with live data;;C  Manufacturing;Test;Individual Systems;As-Operated;improving testability of physical system;;TRL 1-3;;Robot Arm;Daniel
Reliable Counterparts: Efficiently Testing Causal Relationships in Digital Twins;;;;;Code Generation;;Causal Directed Acyclic Graphs;Test Cases;generate test cases;;;;;;;;;;;Daniel
Simulation-Based Engineering of Heterogeneous Collaborative Systems-A Novel Conceptual Framework;No MDE application;;;;;;;;;;;;;;;;;;;Daniel
Supporting Digital Twins for the Retrofit in Aviation by a Model-Driven Data Handling;To be discuessed with Manuel;;;;;;;;;;;;;;;;;;;Daniel
Supporting the Implementation of Digital Twins for IoT-Enhanced BPs;;"""This work considers two main features of a digital twin system: (1) the representation and storage of the characteristics of real-world entities in a structured form, and (2) the runtime synchronisation between digital and real-world entities.""";BPMN;;Model to Model Transformation;;BPMN Model;DTDL Model;;;I  Accommodation and Food Service Activities;Operate;Individual Systems;As-Designed;;;TRL 1-3;;;Daniel
Supporting the Implementation of Digital Twins for IoT-Enhanced BPs;;;DTDL;;Code Generation;;BPMN Model;java template code for microservices;;;;;;;;;;;;Daniel
Supporting the Implementation of Digital Twins for IoT-Enhanced BPs;;;;;;;;;;;;;;;;;;;CO2 Measurement;Daniel
TwinOps - DevOps Meets Model-Based Engineering and Digital Twins for the Engineering of CPS;;"Digital Twins. consist ""of three components, a physical product, a virtual representation of that product, and the bi-directional data connections that feed data from the physical to the virtual representation, and information and processes from the virtual representation to the physica";AADL;;Code Generation;;AADL model;"minimal middleware that supports the execution of the model (written in C); Azure code that is used to execute the system and perform monitoring (I think that both aspects are the same)";;support system continuous improvement and maintenance through the analysis of runtime logs and their comparison to system optimal performance.;I  Accommodation and Food Service Activities;Operate;Individual Systems;;enable simulation;;TRL 1-3;;;Daniel
TwinOps - DevOps Meets Model-Based Engineering and Digital Twins for the Engineering of CPS;;;;;Code Generation;;AADL model;LNT model (used for model checking);;;;;;;;;;;;Daniel
TwinOps - DevOps Meets Model-Based Engineering and Digital Twins for the Engineering of CPS;;;;;Code Generation;;AADL model;FMI device mock-ups;;;;;;;;;;;;Daniel
TwinOps - DevOps Meets Model-Based Engineering and Digital Twins for the Engineering of CPS;;;;;Code Generation;;AADL model;;;;;;;;;;;;;Daniel
UAV-Assisted Three-Dimensional Spectrum Mapping Driven by Spectrum Data and Channel Model;No MDE application;;;;;;;;;;;;;;;;;;;Daniel
Supporting Digital Twins for the Retrofit in Aviation by a Model-Driven Data Handling;;the digital twin is described more generally as a concept, which describes the linkage between (aspects of) a physical product or object and its virtual representation;SysML;data model;Model to Model Transformation;;SysML;MSN-specific;"single-source-of-truth aspect of system models; creation of these models can be performed by engineers with no expertise in programming";;H  Transportation and Storage;Design;Individual Systems;As-Designed;;"""implementation of graph algorithms to source information from the complete set of information"" (similarities between related aircraft could be automatically identified)";TRL 1-3;enables the creation of DTs for specific aircraft;A320;Jingxi
GRuM-A flexible model-driven runtime monitoring framework and its application to automated aerial and ground vehicles;;;"EMF; Xtext; eigene DSL: Monitoring Meta-Model; DSL konformes Model: Weaved monitoring model";data model;Code Generation;;WM + Domain model Fragment;Monitoring Platform + Monitoring Middleware + System under Monitoring Probes;;;H  Transportation and Storage;Implement;Systems of Systems;As-Designed;;;TRL 1-3;;"Dones; ROS TurtleBot Robots";Jingxi
On the Notion of Digital Twins: A Modeling Perspective;no MDE;"A digital twin is a digital replica of a real object that replicates the behavior and states
of the original object in a virtual environment throughout its lifetime [1,2].";;;;;;;;;;;;;;;;on the history of MetaModels, stated to have MM, but none described;;Jingxi
EMF-Syncer: scalable maintenance of view models over heterogeneous data-centric software systems at run time;;;EMF;data model;Model to Model Transformation;;domain model;view model;;;J  Information and Communication;Design;Individual Systems;As-Designed;;;TRL 1-3;internal in eclipse for EMF to synchronize: domain Model and view Model;;Jingxi
EMF-Syncer: scalable maintenance of view models over heterogeneous data-centric software systems at run time;;;EMF;data model;Model to Model Transformation;;view model;domain model;;;J  Information and Communication;Design;Individual Systems;As-Designed;;;TRL 1-3;;;Jingxi
Digital modeling-driven chatter suppression for thin-walled part manufacturing;no Model;;;math;Model Interpretation;;"chatter detection sub-model
optimization sub-model";;;;C  Manufacturing;Operate;Individual Systems;As-Designed;;;TRL 1-3;Model is again a mathematical model;Drilling machine;Jingxi
A data- and model-driven approach for cancer treatment;no MDE;;;data model;Model Interpretation;;Cancer Data;;;;Q  Human Health and Social Work Activities;;;;;;TLR 4-6;"position paper; All Data just describe very vague; Simulation only";cancer simulation;Jingxi
Digital Twin Driven Green Performance Evaluation Methodology of Intelligent Manufacturing: Hybrid Model Based on Fuzzy Rough-Sets AHP, Multistage Weight Synthesis, and PROMETHEE II;no MDE;;;data model;Model Interpretation;;virtual Model;;;;C  Manufacturing;Operate;Individual Systems;As-Designed;;;TRL 1-3;Framework for development of DT;Air Conditioning Enterprise;Jingxi
A digital twin-driven hybrid approach for the prediction of performance degradation in transmission unit of CNC machine tool;no Model;"The concept of digital twins (DT) originated in the early 21st century,
which was first proposed by Professor Grieves in the United States.";;data model;Model Interpretation;;Simulation Model;;;;C  Manufacturing;Design;Individual Systems;As-Designed;Model in simulation;;TRL 1-3;"model is a mathematical model
mostly probabilities";e worm gear and worm transmission unit;Jingxi
A multi-model ensemble digital twin solution for real-time unsteady flow state estimation of a pumping station;no Model;;;behaviour;Model Interpretation;;data + Math;;;;D  Electricity, Gas, Steam and Air Conditioning Supply;Operate;Individual Systems;As-Designed;Model as in model of Neural Network;;TRL 1-3;model = mathematical model of stream in pipeline;pumping station;Jingxi
Simulation-Based Engineering of Heterogeneous Collaborative Systems-A Novel Conceptual Framework;;The state of the art of modeling and simulation inclines to the digital twin (DT) concept that couples real-world system structure and behavior with its virtual model.;?;behaviour;Code Generation;;domain model;Master Broker System;;;J  Information and Communication;Implement;Systems of Systems;As-Designed;;;TRL 1-3;;;Jingxi
UAV-Assisted Three-Dimensional Spectrum Mapping Driven by Spectrum Data and Channel Model;no Model/no MDE;;;behaviour;Model Interpretation;;Spectrum Data;;;;J  Information and Communication;Operate;Individual Systems;As-Designed;Model as in model of Neural Network;;TRL 1-3;"DT nur im Abstract. Modelle werden für ML reconstruction genutzt; still MDE?";UAV;Jingxi
Decentralized Autonomous Operations and Organizations in TransVerse: Federated Intelligence for Smart Mobility;no MDE;;;behaviour;Model Interpretation;;World Model;;;;H  Transportation and Storage;Operate;Systems of Systems;As-Designed;Model as in model of Neural Network;;TRL 1-3;"""world model"" used for AI learning; ""world model-driven""; DT not made by MDE";Public Transport;Jingxi
A virtual model knowledge updating method driven by data;no MDE;The digital twin concept and technology have been gradually applicated in discrete production line design layout, virtual verification, and analysis evaluation.;;behaviour;Model to Model Transformation;;"virtual Model; Simulation Model (Geometric + Rule+ Behavior + Physical)";"virtual Model; Simulation Model (Geometric + Rule+ Behavior + Physical)";;;C  Manufacturing;Operate;Individual Systems;As-Designed;Model in simulation;;TRL 1-3;"not about DT; DT just provides data; Model updates are min max functions";KuKa Robot;Jingxi
Data-Driven Methodology to Support Long-Lasting Logistics and Decision Making for Urban Last-Mile Operations;no MDE;"Both industry and academic works have taken advantage of
previous knowledge to guide the execution of operations with the support of analytical simulation models, also called digital twins [3840].";;behaviour;Model Interpretation;;Simulation Model;;;;H  Transportation and Storage;Operate;Individual Systems;As-Designed;Model in simulation;;TRL 1-3;"Route Planning in Simulation; DT not made by MDE";;Jingxi
Digital Behavioral Twins for Safe Connected Cars;no MDE;;;;Model Interpretation;;behavioral profile model of a driver;;;;H  Transportation and Storage;Operate;Individual Systems;;;;TRL 1-3;"AI related paper; model just for decision making in markov decision chain";"V2V Communication; Connected Vehicles";Jingxi
An EV-Traction Inverter Data-Driven Modelling for Digital Twin Development;no MDE;;;;;;;;;;;;;;;;TRL 1-3;NN over the data where is MDE?;;Jingxi
Digital Twins for Sustainable Software Systems;Opinion Paper;;;;;;;;;;;;;;;;;"Vision Paper; Posed many ideas on DT for each SDLC phase";;Jingxi
Concept of a Modular and System Model Driven Digital Twin for Engineering Education;;"Digital Twins are already considered to be a complex system of
systems, which comes along with different design patterns [4].";;data model;Model to Model Transformation;;SysML;Simulink Model;;;P  Education;;;;;;TRL 1-3;;education platform;Jingxi
Concept of a Modular and System Model Driven Digital Twin for Engineering Education;;;;behaviour;Model Interpretation;;SysML;;;;P  Education;;;;;;TRL 1-3;;;Jingxi
Dynamic Runtime Integration of New Models in Digital Twins;;"DT = virtual model in simulation (""co-simulation"")";;data model;Model to Model Transformation;;Graph Models;Graph Models;;;A  Agriculture, Forestry and Fishing;Operate;Individual Systems;As-Operated;;;TRL 1-3;;Desktop Robotti;Jingxi
TwinOps - DevOps Meets Model-Based Engineering and Digital Twins for the Engineering of CPS;;"Digital Twins. consist ""of three components, a physical product, a virtual representation of that product, and the bi-directional
data connections that feed data from the physical to the virtual
representation, and information and processes from the virtual
representation to the physical"" ([8])";;data model;Model to Model Transformation;;SysML;AADL;;;J  Information and Communication;Design;Individual Systems;As-Designed;;;TRL 1-3;;Sensor of a room for Azure IOT;Jingxi
TwinOps - DevOps Meets Model-Based Engineering and Digital Twins for the Engineering of CPS;;;;data model;Code Generation;;AADL;;;;J  Information and Communication;Implement;Individual Systems;As-Designed;;;TRL 1-3;;;Jingxi
Reliable Counterparts: Efficiently Testing Causal Relationships in Digital Twins;;Digital twins are an emerging technology. They use data-driven and physics-based simulation to model, communicate with and provide additional functionality to their coupled physical system [7].;;behaviour;Model Interpretation;;"Causal Diagram; directed acyclic graph";;;;C  Manufacturing;Test;Individual Systems;As-Designed;;;TRL 1-3;;Robotic Arm;Jingxi
Classification and Mapping of Layout Algorithms for Usage in Graph-like Modeling Languages;?;;;data model;Model to Model Transformation;;GLML;Layout Algorithm;;;C  Manufacturing;Plan;Processes;As-Designed;;;TRL 1-3;"Graph Abbildungen im Mittelpunkt
Mapping == Abbildung hier?
Ist eine Abbildung in diesem Fall MDE?";body construction plant of an automotive manufacturer;Jingxi
Supporting the Implementation of Digital Twins for IoT-Enhanced BPs;;"A Digital Twin (DT) is a virtual representation of real-world entities (physical objects
and systems, or immaterial things that exist over a significant time span) and processes (events or activities that occur in time), synchronised at a specified frequency and fidelity";"BPMN; DTDL";data model;Model to Model Transformation;;BPMN;DTDL;;;I  Accommodation and Food Service Activities;Design;Individual Systems;As-Designed;;;TRL 1-3;;CO2 Sensor;Jingxi
Supporting the Implementation of Digital Twins for IoT-Enhanced BPs;;;;data model;Code Generation;;BPMN;;;;I  Accommodation and Food Service Activities;Implement;Individual Systems;As-Designed;;;TRL 1-3;;;Jingxi
Supporting Digital Twins for the Retrofit in Aviation by a Model-Driven Data Handling;;"""the digital twin is described more generally as a concept, which describes the linkage
between (aspects of) a physical product or object and its virtual representation""";SysML, Crisp-DM;geometry;Model to Model Transformation;SysML graph bridge;.csv file;Graph database;""" digitized single source of truth"", ""model-driven approach to support data handling in aviation""";"""digital twins of specific aircraft focusing on
the information needed for the retrofit""";H  Transportation and Storage;Maintain;Individual Systems;As-Operated;"""This makes the previously
mostly analog information digitally available during the retrofit.""";;TRL 1-3;;Aircraft cabine refitting;Ann
GRuM-A flexible model-driven runtime monitoring framework and its application to automated aerial and ground vehicles;;"""In MDE and industrial CPS domain, the term Digital Twin has become synonymous with a model of the system instantiated at runtime""";GRuM;structure;Code Generation;;Monitoring Meta-Model (MMM) +  Weaved Monitoring Model (WM);Monitoring Platform;"""MDE has been shown to improve productivity by enabling developers to specify a system at a higher level of
abstraction."", ""GRuM leverages MDE techniques to specify relevant monitoring properties and ultimately to generate
a complete monitoring infrastructure""";;M  Professional, Scientific and Technical Activities;Operate;Systems of Systems;As-Operated;"""Specifically, in Models@Runtime research (Blair et al., 2009; Bencomo et al., 2019),
the models are instantiated at runtime, and then used to check
properties and support self-adaption""";;TRL 4-6;Is this realy a DT?;Dronology, ROS TurtleBot Robots;Ann
GRuM-A flexible model-driven runtime monitoring framework and its application to automated aerial and ground vehicles;;;;;Code Generation;;Monitoring Meta-Model (MMM) +  Weaved Monitoring Model (WM);Probe Set;;;;;;;;;;;;Ann
On the Notion of Digital Twins: A Modeling Perspective;;"""A digital twin is a digital replica of a real object that replicates the behavior and states
of the original object in a virtual environment throughout its lifetime [1,2].""";;;Code Generation;;source metamodel;traget model;"""the formalized application of modeling to support system requirements, design, analysis, verification, and validation activities, beginning in the conceptual design phase and continuing through the development and later lifecycle phases [8]."", "" An executable
model is a precise model that a machine can interpret to automatically generate the desired
physical object without the active intervention of a human engineer""";"""The digital twin is the next stage in the evolution of product development, and in addition to a rich representation of the physical object, it also keeps the connection with the physical object."", ""The digital twin can have different purposes, including, monitoring, control, optimization, and autonomy.""";;;;;"""Modeling is a
ubiquitous activity that is essential for all engineering and science disciplines. A model
can be defined as an abstract representation of reality, often a physical object.""";;;No use case, implementation, etc.;;Ann
On the Notion of Digital Twins: A Modeling Perspective;;;;;Model to Model Transformation;;source model;trarget model;;;;;;;;;;;;Ann
EMF-Syncer: scalable maintenance of view models over heterogeneous data-centric software systems at run time;No DT used;;EMF-Syncer, JVM languages;;Model to Model Transformation;EMF;java classes;view model;;;J  Information and Communication;Operate;;;;;;No DT;;Ann
Digital modeling-driven chatter suppression for thin-walled part manufacturing;No MDE application;;;;;;;;;;;;;;;;;;;Ann
A data- and model-driven approach for cancer treatment;Philosophical, Opinion, or Experience paper (ehem. Challenges Paper);;;;;;;;;;Q  Human Health and Social Work Activities;;;;;;;;;Ann
Digital Twin Driven Green Performance Evaluation Methodology of Intelligent Manufacturing: Hybrid Model Based on Fuzzy Rough-Sets AHP, Multistage Weight Synthesis, and PROMETHEE II;;;;;;;;;;;;;;;;;;;;Ann
A digital twin-driven hybrid approach for the prediction of performance degradation in transmission unit of CNC machine tool;No MDE application;;;;;;;;;;;;;;;;;data-driven;;Ann
A multi-model ensemble digital twin solution for real-time unsteady flow state estimation of a pumping station;No MDE application;;;;;;;;;;;;;;;;;data-driven;;Ann
Simulation-Based Engineering of Heterogeneous Collaborative Systems-A Novel Conceptual Framework;;"""Digital twin (DT) utilizes a two-way information
flow over multiple processes. Information flow in the DT environment starts with a realtime event initiated in the sensor network infrastructure and repeats according to the events
time distribution. """;;;;;;;;""" the DT concept helps span the system lifecycle through the real-time data acquisition infrastructure, model-based simulations,
complexity reduction principles, and Artificial Intelligence mechanisms while raising the
quality of systems inherent decision-making processes.""";;;Systems of Systems;;;;;;;Ann
UAV-Assisted Three-Dimensional Spectrum Mapping Driven by Spectrum Data and Channel Model;No DT used + No MDE application;;;;;;;;;;;;;;;;;;;Ann
Decentralized Autonomous Operations and Organizations in TransVerse: Federated Intelligence for Smart Mobility;No MDE application;;;;;;;;;;;;;;;;;world-model-driven;;Ann
A virtual model knowledge updating method driven by data;No MDE application;;;;;;;;;;;;;;;;;;;Ann
Data-Driven Methodology to Support Long-Lasting Logistics and Decision Making for Urban Last-Mile Operations;No MDE applicationNo MDE application;"previous knowledge to guide the execution of operations with the support of analytical
simulation models, also called digital twins";;;;;;;;"""The digital twin
aims to predict future scenarios and plan strategies for the most likely situations for the
dispatchers of vehicles in businesses (e.g., retail, logistics companies, restaurants).""";;;;;;;;data-driven;;Ann
Digital Behavioral Twins for Safe Connected Cars;No MDE application;;;;;;;;;;;;;;;;;;;Ann
An EV-Traction Inverter Data-Driven Modelling for Digital Twin Development;;"""DT comprises three main components: a physical model, 
a virtual model, and a communication link between the two. """;;behavior;Model to Model Transformation;;existing system models;DT;"""model-driven modeling techniques are based on the idea 
that the system can be represented as a set of models or 
mathematical equations that can be used to describe the 
system's behavior.""";"""Digital Twin (DT) technology is gaining attraction as it 
provides a comprehensive view of the physical asset and its 
performance. It allows for the simulation of the entire lifecycle 
of the physical asset, from design to operation, and provides 
insights into how the asset performs [1], [2]""";N  Administrative and Support Service Activities;Implement;Individual Systems;As-Designed;;;TRL 1-3;;EV drive system;Ann
Digital Twins for Sustainable Software Systems;"Philosophical, Opinion, or Experience paper (ehem. Challenges Paper) ""a digital twin of a system consists
of a set of models of the system and a set of digital shadows,
both of which are purposefully updated on a regular basis,
and provides a set of services to use both purposefully with
respect to the original system. The digital twin interacts with
the original system by providing useful information about the
systems context and sending it control commands.""";;;;;;;;;"""The main functionalities
DTs provide for sustainability assessment are to monitor, calculate, and visualize sustainability indicators, and simulate and
forecast these indicators based on historic information.""";;;;;;;;;;Ann
Concept of a Modular and System Model Driven Digital Twin for Engineering Education;;"""It is generally defined as a concept in which operational data 
from a physical counterpart is processed within models to give 
recommendations towards a user or the system itself. Other 
components include its bidirectional orientation [9] as well as its 
real time capabilities [15].""";SysML;behavior;Code Generation;;SysML;Simulink;"""MBSE seems a promising approach to grasp the increasing complexity of modern systems"", ""Hence, a model driven concept, 
which directly utilizes these models seems to be a promising 
approach e.g., by directly deriving executable code for the Twin. """;"""Digital Twins must be utilized to solve problems 
and generate benefits.""";P  Education;Implement;Individual Systems;As-Designed;"""System models can help to 
visualize this complexity and at the same time being utilized to 
define this behaviour in a machine-readable context, such as 
shown in [26]. """;;TRL 1-3;;system model driven Digital Twin in academia;Ann
Dynamic Runtime Integration of New Models in Digital Twins;"No MDE application ""Digital Twins, as virtual replicas of cyber-physical systems,
can follow the behaviour of their physical counterparts in
real-time, and thus provide support for a range of operations
such as monitoring, prediction, maintenance, learning, reconfiguration, and self-adaptation, among others.""";;;;;;;;"""With MDE, systems are developed using
compositions of models. This allows for rapid adaptations of
developed systems by replacing individual models, leading to
a blurry boundary between development and deployment [26]
leading to DevOps (development and operations). """;;A  Agriculture, Forestry and Fishing;;Individual Systems;As-Operated;;;TRL 1-3;;agricultural robot prototype;Ann
TwinOps - DevOps Meets Model-Based Engineering and Digital Twins for the Engineering of CPS;;"""Digital Twins. consist ""of three components, a physical product, a virtual representation of that product, and the bi-directional
data connections that feed data from the physical to the virtual
representation, and information and processes from the virtual
representation to the physical"" ([8]).""";"""SysML, AADL, Modelica, and FMI using GitLab CI/CD"", Azure IoT cloud platform";structure;Code Generation;Ocarina AADL code generator;AADL model;e.g. C, ada, LNT, ...;"""critical impacts of automated code generation on the engineering
of embedded software in both increased confidence in produced
software and fast delivery. """;""" These links support system
continuous improvement and maintenance through the analysis of
runtime logs and their comparison to system optimal performance.""";I  Accommodation and Food Service Activities;Operate;Systems of Systems;As-Designed;"""Models can address some of these concerns: systems engineering
models to capture system requirements, its interface, and their
decomposition into subsystems; simulation models to evaluate the
system general behavior; engineering models to move forward
towards the realization of the system""";;TRL 1-3;;monitoring system for a building;Ann
TwinOps - DevOps Meets Model-Based Engineering and Digital Twins for the Engineering of CPS;;;;;Model to Model Transformation;;SysML;ADDL;;;;;;;;;;;;Ann
Reliable Counterparts: Efficiently Testing Causal Relationships in Digital Twins;;"""Digital twins are an emerging technology. They use data-driven
and physics-based simulation to model, communicate with and provide additional functionality to their coupled physical system [7]""";Causal Inference (CI) techniques;structure;Model Interpretation;Causal Directed Acyclic Graphs (DAGs);;;;;C  Manufacturing;Operate;Individual Systems;As-Designed;"""models to accurately represent their physical
counterpart""";;TRL 1-3;Testing DTs;Robotic arm;Ann
Classification and Mapping of Layout Algorithms for Usage in Graph-like Modeling Languages;No DT used;;GLML;structure;Model Interpretation;general metamodel for GLML;mapping of layout algorithms;GLML;"""Model executability and model 
transformations are the core of MDE""";;C  Manufacturing;Operate;Processes;;"""As a representation of systems throughout their life cycle, models are 
the most important interface between man and machine""";;TRL 1-3;No DT;"""body construction plant of an automotive manufacturer""";Ann
Supporting the Implementation of Digital Twins for IoT-Enhanced BPs;;"""A Digital Twin (DT) is a virtual representation of real-world entities (physical objects
and systems, or immaterial things that exist over a significant time span) and processes
(events or activities that occur in time), synchronised at a specified frequency and fidelity
[1]. It connects with the physical part allowing data transfer from the physical to the
digital part and vice versa, in such a way that it can represent, simulate, or predict changes in the physical system.""";BPMN;structure;Model to Model Transformation;;BPMN;DTDL models;"""we propose a Model-Driven approach to support the creation
of the software artefacts required to represent, store and synchronise at runtime the
characteristics of real-world entities in IoT-enhanced BPs DTs.""";"""This work considers two main features of a digital twin system: (1)
the representation and storage of the characteristics of real-world entities in a structured
form, and (2) the runtime synchronisation between digital and real-world entities.""";M  Professional, Scientific and Technical Activities;Operate;Systems of Systems;As-Operated;;;TRL 1-3;;"""management of CO2 levels in a library""";Ann
Supporting the Implementation of Digital Twins for IoT-Enhanced BPs;;;DTDL;;Code Generation;;BPMN;Java code templates;;;;;;;;;;;;Ann
;;;;;;;;;;;;;;;;;;;;Ann
