Title;DT Definition;virtual space;Kritzinger;DT is specific;modeling language original;note on modeling language;model type original;modeling language;language fidelity category;language content category;language content category consolidated;model type;model processing technique;model usage technique;source;source category;source sub-category 1;source model target category;target;target category;target sub-category;target model target category;purpose of MDE application;purpose of DT;DTPurposeCategory;use case domain;system lifecycle phase;twinning target;twin lifecycle phase;purpose /expected benefit of using models;open challenges;Technological Readiness Level;notes;Use Case
A digital twin-driven hybrid approach for the prediction of performance degradation in transmission unit of CNC machine tool;DT technology not only can build a virtual model takes advantage of the existing theory and knowledge, also can use the simulation technology of virtual model to explore and forecast the unknown world;;;;;;;;;;;;Model Interpretation;;hybrid model (physical, geometric, behavior, rule);data model;structure model;PT;performance degredation measurement algorithm;software;backend code;;;;;Manufacturing;Design;Individual Systems;As-Operated;;;TRL 4-6;;Transmission of CNC Machine
A digital twin-driven hybrid approach for the prediction of performance degradation in transmission unit of CNC machine tool;DT technology not only can build a virtual model takes advantage of the existing theory and knowledge, also can use the simulation technology of virtual model to explore and forecast the unknown world;;;;;;;;;;;;Model Interpretation;;runtime data;software;runtime data;;physical model;structure model;data model;PT;update model;;;Manufacturing;Design;Individual Systems;As-Operated;;;TRL 4-6;;Transmission of CNC Machine
A framework for Model-Driven Engineering of resilient software-controlled systems;"dynamic virtual model of a system, processor, or service, with data (e.g., sensor data) from physical systems or processes integrated into it.; ""Software digital twins representations provide a key abstraction, providing an agile interface on hardware components, capturing operational behaviours of physical assets and processes, also providing refined and interpreted data, to enable diagnoses, predictive maintenance tasks, process plannings, process optimizations, virtual prototyping, and simulation.""";Model of PT;;;SysML;;structure;SysML;;ontology;logical or physical;Structure;Model to Model Transformation;;SysML: BDD;behavior model;state-based;;Knowledge Base of software digital twins (Metamodel proposed in Figure 5 of the paper) -> in fact, this is the class diagram of their knowledge base;backend code;architecture model;PT;reuse information created by reliability engineers (sysml) for concrete software implementation;mirror items for monitoring and control operations;Monitoring;Transportation and Storage;Design;Individual Systems;As-Designed;formal specification of information in the form of models allows the application of MDE techniques (model transformations);;TRL 1-3;;limited traffic zone access control
A framework for Model-Driven Engineering of resilient software-controlled systems;;;;;Knowledge base model;contribution of the paper;;Knowledge base model;;behavior;structure or behavior;??;Model to Model Transformation;;Fault Trees;structural model;data model;;FaultTreeAnalyzer (metamodel proposed in Figure 8);database;data model;PT;;;;;Design;;As-Designed;;;;;
A Methodology for Digital Twin Modeling and Deployment for Industry 4.0;"""The digital twin (DT) is a virtual representation of a physical object, which has been proposed as one of the key concepts for Industry 4.0.""";Model of PT;;;AutomationML;;structure;AutomationML;;ui configuraiton;data, architecture, ontology, UI configuration;Structure;Code Generation;;AutomationML models;structural model;ui configuraiton model;;Restful API, Html pages;visualization software;architecture model;PT;Synchronizing data from the physical system with the model;Syncronizing data from the physical system with the model;Synchronization;Manufacturing;Design;Individual Systems;As-Designed;"model the physical device, serving as the virtual representation of the device; to model the DT itself, serving as a configuration reference for the deployment phase. ; reusability of similar basic components; model the physical device; serving as the virtual representation of the device; to model the DT itsel - serving as a configuration reference for the deployment phase";;TRL 1-3;;refinery automationsystem with four valves 
A Methodology for Digital Twin Modeling and Deployment for Industry 4.0;;;;;;;structure;;;data;;;Model Interpretation;;AutomationML models;structural model;data model;;DT runtime memory;runtime data;architecture model;Software;;;;;Operate;Systems of Systems;As-Operated;;;;;
A Model-Driven Approach for Situational Intelligence & Operational Awareness;Predictive models of electrical power networks serve as a â€œdigital twinâ€ of the system including network topology, engineering parameters, and other pertinent information with real-time data acquired for depicting the actual operation of the system ;;;;real-time power flow analysis;;E/E Architecture;;;architecture;data, architecture, ontology, UI configuration;E/E Architecture;Model Interpretation;;electrical system model;structural model;data model;PT;;;;;A model-driven approach codifies the engineering design teamâ€™s intent to ensure that facilities operate precisely as they were intended to, or better;;;Electricity;Operate;Individual Systems;As-Designed;"predictive model; As the facility evolves over time, the model can be easily updated to serve as a digital asset repository i.e. digital twin";;TRL 1-3;;
A Novel Methodology to Construct Digital Twin Models for Spacecraft Operations Using Fault and Behaviour Trees;"""a digital twin of a system consists of a set of models of the system, a set of digital shadows, and provides a set of services to use the data and models purposefully with respect to the original system [Da20].""";Comprehensive;DS;;Fault Tree;;behavior;Fault Tree;;architecture;data, architecture, ontology, UI configuration;Behavior;Model to Model Transformation;;Fault Trees;structural model;data model;software;Operations-Dedicated Models (ODMs);visualization software;architecture model;Software;;;;Professional, Scientific;Operate;Individual Systems;As-Operated;;;TRL 1-3;;ground station of a spacecraft
A Novel Methodology to Construct Digital Twin Models for Spacecraft Operations Using Fault and Behaviour Trees;;;;;ODM Models;ODM = DT, but no dedicated language mentioned;structure;ODM Models;;;;??;Model Interpretation;;DT model (=ODM model);structural model;data model;software;UI-based monitoring tools;backend code;architecture model;;;;;;Operate;;As-Operated;;;;;
A Novel Methodology to Construct Digital Twin Models for Spacecraft Operations Using Fault and Behaviour Trees;;;;;;;;;;behavior;logical or physical;;;;;behavior model;state-based;;;structural model;;;;;;;;;;;;;;
"A pattern catalog for augmenting Digital Twin models with behavior; [Ein Musterkatalog zur Erweiterung von digitalen Zwillingsmodellen um Verhaltenssichten]"; DT provides a virtual representation of the physical system that enables bi-directional synchronization between it and its physical counterpart. DTs promise to support a multitude of tasks of the whole system life-cycle ;;;;;;structure;DT Modeling Language (DTML);;architecture;data, architecture, ontology, UI configuration;structure;Model to Model Transformation;;structure model;structural model;data model;PT;structure + behavior model (DTML);structure model;data model;PT;;;;Manufacturing;Design;Individual Systems;As-Designed;;;TRL 1-3;;3D Printer
"A pattern catalog for augmenting Digital Twin models with behavior; [Ein Musterkatalog zur Erweiterung von digitalen Zwillingsmodellen um Verhaltenssichten]"; DT provides a virtual representation of the physical system that enables bi-directional synchronization between it and its physical counterpart. DTs promise to support a multitude of tasks of the whole system life-cycle ;;;;;;behavior;DT Modeling Language (DTML);;behavior;structure & behavior;behavior;Model to Model Transformation;;behavior model;behavior model;state-based;PT;structure + behavior model (DTML);behavior model;state-based;PT;;;;Manufacturing;Design;Individual Systems;As-Designed;;;TRL 1-3;;3D Printer
AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML;;;;;AutomationML;;structure;AutomationML;;data;data, architecture, ontology, UI configuration;Structure;Model to Model Transformation;;AML;structural model;data model;PT;DT-MM;structural model;;;;"""By integrating the digital and physical worlds, the DT enables real-time monitoring of systems and processes and helps, for example, to reduce downtimes and detect errors at an early stage""; interface to running system";"Monitoring; Interface";Administrative;Implement;Individual Systems;As-Designed;"reduces complexity through abstraction, enables automation through model-driven engineering; represent information across asset lifecycle, reuse information based on machine-readable format of models";;TRL 1-3;;Air Quality Opitmization System
AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML;;;;;Azure DTDL;focus on CAEX;structure;Azure DTDL;;architecture;data, architecture, ontology, UI configuration;Structure;Code Generation;;DT-MM;structural model;data model;;Json Files;structural model;;;;;;;Maintain;;As-Designed;;;;;
AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML;a virtual model of a city;;;specific;DT-MM: platform-neutral DT metamodel;contribution of the paper;structure;DT-MM: platform-neutral DT metamodel;;ontology;data, architecture, ontology, UI configuration;Structure;;;;;;;;;;;;;;;;;;;;;;
An EV-Traction Inverter Data-Driven Modelling for Digital Twin Development;DT comprises three main components: a physical model, a virtual model, and a communication link between the two.;;;;;;;;;;;;;;;-;;;;;;;;;;;;;;;;;;
Case Study on Automated and Continuous Reliability Assessment of Software-Defined Manufacturing Based on Digital Twins;"""A digital twin is a software system consisting of models, data, and services to interact with a cyber-physical system for a particular purpose [3, 21, 22]. """;Comprehensive;DT;;SysML v2;;structure;SysML;;behavior;;Structure;Model to Model Transformation;;SysML v2 structure models;behavior model;state-based;;Fault Trees;behavior model;;;optimization;They serve to monitor, better understand and optimize the behavior of their respective counterparts.;Monitoring;Manufacturing;Operate;Individual Systems;As-Operated;;;TRL 1-3;;
Case Study on Automated and Continuous Reliability Assessment of Software-Defined Manufacturing Based on Digital Twins;;;;;;;behavior;;;architecture;structure or behavior;;Model to Model Transformation;;SysML v2 action sequences;structural model;data model;software;Markov chains;behavior model;;;;;;;Operate;;As-Operated;;;;;
Closed-Loop Systems Engineering (CLOSE): Integrating Experimentable Digital Twins with the Model-Driven Engineering Process; A DT isâ€”from a structural, functional, and behavioural point-of-viewâ€”a oneto-one virtual representation of a real world artefact (such as a machine, a component, or objects from the environment) and comprises models of their â€œdataâ€ (geometry, structure, etc.), functionality (data processing, behaviour, etc.), and communication interfaces [35]. EDTs combine the DT idea with modelling and simulation techniques to â€œbring DTs to lifeâ€, they become â€œexperimentableâ€ [36]. VTBs provide an interactive run-time environment for EDTs that allow for the simulation of networks of interacting EDTs [5].;;;;;;;;;;;;;;Semantic Reference Model  (physical product parts);structural model;data model;PT;;;;;re-using high-quality information across the models without coupling their life-cycle states and control.;;;Transportation and Storage;Design;Individual Systems;As-Designed;;;TRL 1-3;;Autonomous Underwater Vehicle (Torpedo)
Combining Low-Code Programming and SDL-Based Modeling with Snap! in the Industry 4.0 Context;"""a Digital Twin is a virtual reproduction of a system based on simulations, real-time and historical data that allows representing, understanding, and predicting scenarios of the past, present, and future, with verified and validated models, and synchronized at a specified frequency and fidelity with the system""";Comprehensive;DT;;SDL;;behavior;SDL;;;;??;Model to Model Transformation;;SDL model;behavior model;state-based;;Discrete Event System Specification (formal model for simulation engines);backend code;;;execute/simulate modeled behavior;;;Education;Design;Processes;As-Designed;"low-code programming; enable industrial users to test and/or build their own Digital Twin models at a suitable abstraction level and with low entry barriers ; create an open-source and web-based tool that facilitates the implementation and validation of Digital Twin prototypes";;TRL 4-6;;
Combining Low-Code Programming and SDL-Based Modeling with Snap! in the Industry 4.0 Context;;;;;;;behavior;;;behavior;logical or physical;;Model Interpretation;;SDL model;behavior model;state-based;;Snap!;behavior model;;;;;;;Design;;As-Designed;;;;;
Concept of a Modular and System Model Driven Digital Twin for Engineering Education;"It is generally defined as a concept in which operational data from a physical counterpart is processed within models to give recommendations towards a user or the system itself. Other components include its bidirectional orientation [9] as well as its 
real time capabilities [15].";;;;SysML;;data model;SysML;;behavior;structure or behavior;Structure;Model to Model Transformation;;SysML models (BDD, Sequence Diagram, Parametric Diagram, State Machines);behavior model;state-based;;Simulink Model;behavior model;;;"""MBSE seems a promising approach to grasp the increasing complexity of modern systems"", ""Hence, a model driven concept, which directly utilizes these models seems to be a promising approach e.g., by directly deriving executable code for the Twin. """;"""Digital Twins must be utilized to solve problems 
and generate benefits.""";;Education;Design;Individual Systems;As-Designed;"""System models can help to 
visualize this complexity and at the same time being utilized to 
define this behaviour in a machine-readable context, such as 
shown in [26]. """;;TRL 1-3;;education platform
Concept of a Modular and System Model Driven Digital Twin for Engineering Education;;;;;SysML;;;SysML;;;;Behavior;;;;structural model;data model;PT;;behavior model;;;;;;;;;;;;;;
Concept of a Modular and System Model Driven Digital Twin for Engineering Education;;;;;Simulink;;behaviour;Simulink;;behavior;structure or behavior;Behavior;;;;;;;;;;;;;;;;;;;;;;
Concept of a Modular and System Model Driven Digital Twin for Engineering Education;;;;;;;;;;behavior;structure or behavior;;;;;;;;;;;;;;;;;;;;;;;
CPSAML: A Language and Code Generation Framework for Digital Twin Based Monitoring of Mobile Cyber-Physical Systems;"middleware between CPS and a monitoring cockpit; ""A digital twin of a system consists of a set of models of the system, a set of digital shadows and their aggregation and abstraction collected from a system, and a set of services that allow using the data and models purposefully with respect to the original system""";Model with purpose;DS;;SysML v2;;structure;SysML;;architecture;structure or behavior;Structure;Model to Model Transformation;Multi Paradigm Approach;CPSAML;structural model;architecture model;software;SysML (partial model);structural model;;;"Integration of CPS and Information Systems; transform System Architect vision (CPSAML) into starting point for System Engineer (partial SysML model); ""better support both the system architect and the operator for the development of a mobile CPS. The system architect only keeps the focus on her interests through the introduced DSL, while the operator is supported by the generated cockpit application. In addition, the used code generation should save a lot of implementation effort for developers""";"aggregates data from CPS into a ""single system snapchot""";Data Collection?;Accommodation;Design;Individual Systems;As-Designed;"""Model engineering abstracts real world concepts in a way, such that only the relevant properties are left. A model therefore is a simplified representation of reality. This helps planning and designing complex systems, as a model should give a common sense of the underlying system.""";;TRL 4-6;github repository: https://github.com/me-big-tuwien-ac-at/cpsaml;Roomba floor cleaning robot
CPSAML: A Language and Code Generation Framework for Digital Twin Based Monitoring of Mobile Cyber-Physical Systems;;;;;CPSAML;contribution of the paper;structure;CPSAML;;architecture;structure or behavior;??;Code Generation;;SysML (complete model);structural model;architecture model;software;CPS software code (ROS Packages, DT, Monitoring Cockpit). Sprachen: Java, Typescript, Python, Docker;backend code;;;;;;;Implement;;As-Designed;;;;;
DataTime: a Framework to smoothly Integrate Past, Present and Future into Models;;;;;;;directed graph;DataTime Graph;;data;data, architecture, ontology, UI configuration;directed graph;Model Interpretation;Models at runtime;"graph representation; current road situation; data;";structural model;data model;PT;DATA Time Framework;software;;;;Digital Twin is used by the end-user to explore data in time and space.;;Transportation and Storage;Operate;Systems of Systems;As-Operated;makes it possible for domain experts to integrate past, present and future within a  traditional information system containing a priori models;;TRL 4-6;;Intelligent Public Transportation Systems of the city of Rennes (France)
Digital Behavioral Twins for Safe Connected Cars;Digital Behavioral Twin = Behavioral Model of the PT + software for connecting model with PT and performing risk analysis;;;;;;behavior;;;behavior;structure & behavior;behavior;Model Interpretation;;"discrete markov decision process for modeling driving context; behavioral AI model";behavior model;state-based;PT;"Risk Analyzer; linear ML methods";software;machine learning model;;;;;Transportation and Storage;;Systems of Systems;As-Designed;;;TRL 1-3;In the future, we may design multiple test cases, in addition to 3 cars on a highway, to evaluate our framework;Connected Vehicles Behaviour prediction
Digital Twin as Risk-Free Experimentation Aid for Techno-Socio-Economic Systems;;;;;;;;;;;;;Model Interpretation;;System DT (Metamodel proposed by authors in Figure 5);structural model;data model;PT;Learning Agent (Reinforcement Learning Algorithm);software;machine learning model;;;"A SDT serves as an â€œin silicoâ€ experimentation aid to: (i)
understand system behavior, (ii) evaluate behavioral modifications,
and (iii) explore possible better states for the system
reducing the gap between expectation and reality";;Transportation and Storage;Operate;Systems of Systems;As-Designed;;;TRL 1-3;;Parcel Sorting Terminal
Digital Twin as Risk-Free Experimentation Aid for Techno-Socio-Economic Systems;;;;;;;;;;;;;;;;;;;;;;;;;;Information and Communication;Operate;Systems of Systems;As-Designed;;;TRL 1-3;;Telecommunication Network
Digital Twin as Risk-Free Experimentation Aid for Techno-Socio-Economic Systems;;;;;;;;;;;;;;;;;;;;;;;;;;Information and Communication;Operate;Systems of Systems;As-Designed;;;TRL 1-3;;Households of an Economy in the context of COVID-19
Digital Twin of an Electrical Motor Based on Empirical Performance Model;"""The concept of Digital Twin (DT) is creating and maintaining a digital representation of the real physical entity and supporting its performance through simulation and optimization tools, which are fed with real and updated data""; ""A perfect DT will be identical to the real physical entity in terms of appearance and behavior with the extra advantage of making future predictions.""";Comprehensive;DS;;Unity 3D simulation model;describing detailed physics of twinned asset;behavior, physics;Unity 3D simulation model;;;;3D;Model Interpretation;;Unity Model;structural model;data model;;Simulation Controller;backend code;;;;3D simulation model that is updated with live data from the twinned asset;"Simulation; Reasoning";Transportation and Storage;Operate;Individual Systems;As-Designed;;;TRL 1-3;;
Digital Twin of an Electrical Motor Based on Empirical Performance Model;;;;;;;structure;;3d;behavior;logical or physical;;Model Interpretation;;Unity Model;structural model;data model;;ROS Bridge;backend code;;;;;;;Operate;;As-Designed;;;;;
Digital Twins Driving Model Based on Petri Net in Industrial Pipeline;"""the digital twin, that is, real-time data synchronization and feedback control of the entity""";;DT;;Petri Net;;behavior;Petri Net;logical;ontology;logical or physical;Behavior;Model Interpretation;;Petrinet;behavior model;state-based;;real time simulation of state;simulation code;;;;online syncronization of physical and digital system;Synchronization;Manufacturing;Operate;Processes;As-Operated;single source of truth for simulation;;TRL 1-3;;Suit tailoring
Enabling Semantic Interoperability of Asset Administration Shells through an Ontology-Based Modeling Method;#NAME?;;;specific;OWL Ontology + OML Vocabulary;;rule;OWL Ontology + OML Vocabulary;;ontology;data, architecture, ontology, UI configuration;Ontology;Model to Model Transformation;;OML Vocabulary;structure + behavior;ontology model;;UML Profile;structural model;;;;""" the Asset Administration Shell (AAS), provides a syntactic interoperability interface for all assets involved in smart factories""";Interface;Manufacturing;Design;Systems of Systems;As-Designed;formal definition that allows reasoning on/interpretation of models, interoperability;;TRL 1-3;twinning target is systems-of-systems, including modeling of individual systems;robotic cell (niryo ned for gripping + turtlebot for transportation)
Enabling Semantic Interoperability of Asset Administration Shells through an Ontology-Based Modeling Method;;;;;UML Profile;;;UML Profile;;architecture;data, architecture, ontology, UI configuration;Structure;;;;;;;;;;;;;;;;;;;;;;
Enabling Semantic Interoperability of Asset Administration Shells through an Ontology-Based Modeling Method;;;;;AAS;;;AAS;;architecture;data, architecture, ontology, UI configuration;Structure;;;;;;;;;;;;;;;;;;;;;;
Ensuring consistency in scalable-detail models for DT-based control;;;;;;;ontology;Modelica;;ontology;data, architecture, ontology, UI configuration;ontology;Model Interpretation;;Modelica model;behavior model;formal;;Modelica Simulator;software;simulation code;;Simulation;validation against measured data, reconcilation of data and optimisation.;;Accommodation;Implement;Individual Systems;As-Designed;;;TRL 1-3;Future research shall continue the specification work, discuss how models not fitting the OOM approach natively can be integrated.;electric heater system
Ensuring consistency in scalable-detail models for DT-based control;;;;;;;behavior;Modelica;;behavior;structure & behavior;behavior;Model Interpretation;;Modelica model;behavior model;;;Modelica Simulator;software;simulation code;;Simulation;validation against measured data, reconcilation of data and optimisation.;;Accommodation;Implement;Individual Systems;As-Designed;;;TRL 1-3;Future research shall continue the specification work, discuss how models not fitting the OOM approach natively can be integrated.;electric heater system
Generating customized low-code development platforms for digital twins;"""A digital twin is a set of models of the system, a set of digital shadows and their aggregation and abstraction collected from a system, and a set of services that allow using the data and models purposefully with respect to the original system""";Comprehensive;DS;;DSL Component;;structure;DSL Component;;ontology;logical or physical;??;Code Generation;;DSL component + GUI models for editor and viewer + DT components;structural model;architecture model;software;Digital Twin Implementation: Low-code editor for DT configuration;backend code;;;"generation of low-code development platform;  generation of dt architecture; visualization; data modelling; adaptive behavior of DT; recognizing error states in CPS behavior; generating a communication protocol;";"realize self-adaptation loop for CPS; ""Leveraging DTs that monitor and control the system of interest can reduce configuration time, save energy, and prevent waste.""";Self-Adaptation;Manufacturing;Implement;Individual Systems;As-Operated;"Custom Low-code development for domain experts; configurability: easily configure 1 implementation for different CPSs; easily integrate different implementations (monti arc as definition of common interfaces); ""The models we use for configuration are more abstract than programming languages and allow domain experts to create powerful full digital twin applications nonetheless.""";"account for future variability; DT as part of an ecosystem";TRL 4-6;;injection molding machine
Generating customized low-code development platforms for digital twins;;;;;MontiArc;;structure;MontiArc;;architecture;data, architecture, ontology, UI configuration;Architecture;Code Generation;;MontiArc model;structural model;architecture model;software;Digital Twin Implementation: Java code, Software Architecture Components + Glue Code;backend code;;;;;;;Implement;;As-Operated;;;;;
Generating customized low-code development platforms for digital twins;;;;;GUI Language;;structure;GUI Language;;architecture;data, architecture, ontology, UI configuration;UI Configuration;Code Generation;;GUI Model;structural model;architecture model;software;Digital Twin Implementation: DT Cockpit;backend code;;;;;;;Implement;;As-Operated;;;;;
Generating customized low-code development platforms for digital twins;;;;;UML Classdiagram;;structure;UML Classdiagram;;behavior;logical or physical;Structure;Code Generation;;CD;behavior model;state-based;;Digital Twin Implementation: Java code (Backend);backend code;;;;;;;Implement;;As-Operated;;;;;
Generating customized low-code development platforms for digital twins;;;;;Case-based reasoning (CBR9);;rule;Case-based reasoning (CBR9);;behavior;logical or physical;Behavior;Model Interpretation;;CBR;behavior model;state-based;;Reasoner Component of DT Architecture;backend code;;;;;;;Operate;;As-Operated;;;;;
Generating customized low-code development platforms for digital twins;;;;;Event-Condition-Action (ECA) language;;rule;Event-Condition-Action (ECA) language;;architecture;data, architecture, ontology, UI configuration;Behavior;Model Interpretation;;ECA;structural model;data model;software;Evaluator Component of DT Archtiecture;backend code;;;;;;;Operate;;As-Operated;;;;;
Generating customized low-code development platforms for digital twins;;;;;Communication specification language;;behavior;Communication specification language;;ui configuraiton;data, architecture, ontology, UI configuration;;Code Generation;;Communication specification;structural model;ui configuraiton model;software;Java Code for communication between CPS and DT;visualization software;;;;;;;Implement;;As-Operated;;;;;
Generating Digital Twin Cockpits for Parameter Management in the Engineering of Wind Turbines;;;;;UML Class Diagram;;structure;UML Class Diagram;;ui configuraiton;data, architecture, ontology, UI configuration;Structure;Model to Model Transformation;;UML Class Diagram;structural model;data model;software;UI Model;visualization software;;;"Derive UI from Cd; Data structure and DT cockpit backend and frontend api generation; UI generation";;;Electricity;Implement;Individual Systems;As-Designed;"reduce complexity in system design by bridging the gap between high-level requirements and high-detail implementations; ""Suitable models in the early phase are engineering models and models to describe behavior-to-be that can be simulated and analyzed""";;TRL 1-3;;cooling system of a wind turbine
Generating Digital Twin Cockpits for Parameter Management in the Engineering of Wind Turbines;;;;;UI Model;;structure;UI Model;;;;UI Configuration;Code Generation;;UML Class Diagram;structural model;ui configuraiton model;;Part of DT UI Cockpit (Python + Typescript);visualization software;;;;;;;Implement;;As-Designed;;;;;
Generating Digital Twin Cockpits for Parameter Management in the Engineering of Wind Turbines;;;;;;;structure;;;architecture;data, architecture, ontology, UI configuration;;Code Generation;;UI Model;structural model;data model;software;Part of DT UI Cockpit (Typescript);structural model;;;;;;;Implement;;As-Designed;;;;;
Generative and Model-driven SDK development for the Industrie 4.0 Digital Twin;" ""A digital twin allows us to reason about a physical and/or ideal assets in the virtual (i.e. cyber) space thus providing a necessary foundation for complex and large cyber-physical systems.""";Model of PT;;;AAS model;;structure;AAS model;;architecture;data, architecture, ontology, UI configuration;Structure;Code Generation;;AAS model;structural model;data model;software;GPL (shown for C#/Java) Stubs + Contracts;backend code;;;;reasoning in the virtual space;Reasoning;None;Implement;;As-Designed;;further GPLs, build parser for OWL ontologies;TRL 1-3;no demonstration or evaluation provided, only description of the prototypical implementation of the proposed concept;
Integration of SysML Models in a 3D Environment for Virtual Testing and Validation;"""A Digital Twin is a digital 3D - CAD replica of a living or non-living physical entity, allowing to replicate the same behavior as that of the actual
component""";;;specific;SysML;Block Definition Diagram, Internal Block Diagram, Requirements Diagram and a State Machine Diagram;structure;SysML;;behavior;structure or behavior;3D;Model to Model Transformation;;SysML Modelle;behavior model;state-based;;Unity Model;behavior model;;;"3D Visualization of SYSML model; ""comprehend and understand the complexity of the models.""";;;Electricity;Design;Systems of Systems;As-Designed;;"However, more research and development are needed to improve the 3D representation of the SysML
model. In future work, the steps presented in the aforementioned
timeline will be implemented.";TRL 1-3;;
Integration of SysML Models in a 3D Environment for Virtual Testing and Validation;;;;;Unity 3D Model;;;Unity 3D Model;3d;data;logical or physical;3D;;;;;;;;;;;;;;;;;;;;;;
