Title;DT Definition;virtual space;Kritzinger;DT is specific;modeling language original;note on modeling language;model type original;modeling language;language fidelity category;language content category;language content category consolidated;model type;model processing technique;model usage technique;source;source category;source sub-category 1;source model target category;target;target category;target sub-category;target model target category;purpose of MDE application;purpose of DT;DTPurposeCategory;use case domain;system lifecycle phase;twinning target;twin lifecycle phase;purpose /expected benefit of using models;open challenges;Technological Readiness Level;notes;Use Case
Interface Development for Digital Twin of an Electric Motor Based on Empirical Performance Model;"""The concept of Digital Twin (DT) is creating and maintaining a digital representation of the real physical entity and supporting its performance through simulation and optimization tools, which are fed with real and updated data""; ""A perfect DT will be identical to the real physical entity in terms of appearance and behavior with the extra advantage of making future predictions.""";Comprehensive;DT;;Unity 3D simulation model; describing detailed physics of twinned asset;behavior, physics;Unity 3D simulation model;;;;3D;Code Generation;;Unity Model;behavior model;state-based;;Simulation Controller;backend code;;;;3D simulation model that is updated with live data from the twinned asset;Synchronization;Transportation and Storage;Operate;Individual Systems;As-Designed;;;TRL 1-3;;
Interface Development for Digital Twin of an Electric Motor Based on Empirical Performance Model;;;;;; describing detailed physics of twinned asset;behavior, physics;;3d;behavior;logical or physical;;Code Generation;;Unity Model;behavior model;state-based;;ROS Bridge;backend code;;;;;;;Operate;;As-Designed;;;;;
Knowledge driven rapid development of white box digital twins for industrial plant systems;;;;;SADL ontology;;structure;SADL ontology;;ontology;logical or physical;Ontology;Model to Model Transformation;;SADL ontology;structure + behavior;ontology model;;M&CML control systems model;structural model;;;;enable a virtual sand-box environment simulating the behaviour of a plant to perform analyses and predictions.;"Simulation; Reasoning";Electricity;Implement;Individual Systems;As-Designed;;;TRL 1-3;;power plant
Knowledge driven rapid development of white box digital twins for industrial plant systems;;;;;Control Systems Model (M&CML);;behavior;Control Systems Model (M&CML);;architecture;structure or behavior;;Model to Model Transformation;;M&CML;structural model;data model;software;fininte state machine;behavior model;;;;;;;Implement;;As-Designed;;;;;
Knowledge driven rapid development of white box digital twins for industrial plant systems;;;;;finite state machines (FSM);represented in SCXML;;finite state machines (FSM);;behavior;structure or behavior;Behavior;;;;;;;;;;;;;;;;;;;;;;
Meta-model-based shop-floor digital twin architecture, modeling and application;"""DT is considered a new paradigm of modeling and simulationtechnology, extending the use of models to all stages of the product""; the Shop-floor Digital Twin (SDT), as the digital counterpart of physical entities including the humans, machines, material, methods and environments in the existing shop-floor, mirrors the physical shop-floor behavior and performance in the virtual space. The digital counterpart is comprised of a series of semantic digital models and simulation models of the physical shop-floor and has the automatic data synchronization between the physical and virtual space. By establishing the automatic data flow between the physical shop-floor and digital counterpart, the semantic digital models and simulation 
models could be converted to digital shadow and further evolved into SDT.";;;specific;SysML BDD;;;SysML;;behavior;structure or behavior;Structure;Model Interpretation;;raw data (conforming to data model);software;runtime data;;SysML BDD;structural model;;;;"Provide Self-Adapation/Optimization based on (i) data from PT, (ii) operations offered by the PT; ""DT has a strong vitality in the whole product lifecycle and could provide strong support for the digital and intelligent transformation of manufacturing industry in the aspects of virtual model construction and cyber-physical information fusion.""";Self-Adaptation;Manufacturing;Operate;Systems of Systems;As-Operated;;;TRL 4-6;;shopfloor
Meta-model-based shop-floor digital twin architecture, modeling and application;;;;;Data Model;contribution of the paper;;Data Model;;data;data, architecture, ontology, UI configuration;Structure;;;;;;;;;formal;PT;;;;;;;;;;;;
Model-Driven Development of a Digital Twin for Injection Molding;"""A digital twin of a system consists of a set of models of the system, a set of digital shadows, and provides a set of services to use the data and models purposefully with respect to the original system.""";Comprehensive;DS;;MontiArc;;structure;MontiArc;;architecture;data, architecture, ontology, UI configuration;Architecture;Code Generation;;MontiArc;structural model;architecture model;software;Java;backend code;state-based;;"DT software architecture; domain description; specifying the behavior of the DT based on Event, condition action; Setting up an experiment for optimization; communication;";realizes self-adaptation loop based on MAPE (cf. Figure 2);Self-Adaptation;Manufacturing;Implement;Individual Systems;As-Designed;"domain experts can easily optimize their injection modling machine with domain expressions; optimization of injection molding process through repeated execution of DOE; describing the DT?s situations (events) and reactions.";;TRL 1-3;;
Model-Driven Development of a Digital Twin for Injection Molding;;;;;UML Class Diagram;;structure;UML Class Diagram;;architecture;data, architecture, ontology, UI configuration;Structure;Code Generation;;Classdiagrams;structural model;data model;software;Java;backend code;;;;;;;Operate;;As-Designed;;;;;
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;"""A digital twin (DT) of a system consists of a set of models  of the system, a set of contextual data traces and/or their aggregation and abstraction collected from a system, and a set of services that allow using the data and models purposefully  with respects to the original system.""";Comprehensive;DS;;UML Class Diagram;;structure;UML Class Diagram;;architecture;data, architecture, ontology, UI configuration;Structure;Model to Model Transformation;;tagging model, Class Diagram, MontiArc Model;structural model;data model;software;extended MontiArc Model;structural model;formal;PT;;;;Accommodation;Design;;As-Designed;"""Reducing the effort for engineering the communication interfaces between CPS and DT implemented as information systems""";Although model-driven software engineering (MDSE) provides the necessary methods to generate these connections, these methods have not yet been applied to integrated development and connection of DTs to CPSs.;TRL 1-3;;automatic fire extinguishing system
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;;;;;MontiArc ADL;;structure;MontiArc;;ontology;logical or physical;Architecture;Code Generation;;MontiArc model;structural model;architecture model;;GPL code for CPS;structural model;formal;PT;;;;;Implement;Individual Systems;As-Designed;;;;;
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;;;;;tagging language;;structure;tagging language;;architecture;data, architecture, ontology, UI configuration;??;Code Generation;;UML Class Diagram;structural model;architecture model;software;digital twin information system;backend code;formal;;;;;;Implement;;As-Designed;;;;;
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;;;;;GUI DSL;;structure;GUI DSL;;architecture;logical or physical;UI Configuration;Code Generation;;GUI Model;structural model;data model;software;Webpage;backend code;state-based;;;;;;Implement;;As-Designed;;;;;
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;;;;;OCL;;rule;OCL;;ui configuraiton;data, architecture, ontology, UI configuration;??;Code Generation;;MontiArc ADL + Tagging applied on ports of adl model;structural model;ui configuraiton model;;new MontiArc ADL with components receiving tagged ports;visualization software;state-based;;;;;;Implement;;As-Designed;;;;;
Model-driven engineering city spaces via bidirectional model transformations;""" In the realm of smart cities, a digital twin is a virtual model of a cityÃ¯Â¿Â½?a model representation of the physical world""; a virtual model of a city";;;specific;City GML 3D city model;;structure;City GML 3D city model;3d;data;logical or physical;3D;Model to Model Transformation;;CityGML model;structural model;data model;software;cyber-physical spaces (3D topology) model;structural model;data model;;;cyber-physical spaces model upon which formal reasoning can be performed;Reasoning;Construction;Plan;Systems of Systems;As-Designed;;"investigate pluggable custom application policies and support arbitrary CityGML features. generalization of synchronization to a many-to-one model; being able to support multi-model sources might enable support of a wider range of applications dealing with wide area services.";;;smart city
Model-Driven Engineering in Digital Thread Platforms: A Practical Use Case and Future Challenges;;;;;;;;;;;;;Code Generation;;Process Model;behavior model;state-based;PT;Web app;software;backend code;;;;;;;;;;;;;
Model-Driven Engineering in Digital Thread Platforms: A Practical Use Case and Future Challenges;;;;;;;;;;;;;;;UI Model;ui configuration;ui configuration;software;Web app;software;backend code;;;;;;;;;;;;;
Model-Driven Engineering in Digital Thread Platforms: A Practical Use Case and Future Challenges;;;;;;;;;;;;;;;Data model;structural model;structure + behavior;PT;Web app;software;backend code;;;;;;;;;;;;;
On the Engineering of IoT-Intensive Digital Twin Software Systems;;;;;undefined;"only ""structural and behavioral models"" mentioned";structure;undefined;;;;Structure;Model Interpretation;;structural model of the PT;behavior model;not defined;PT;Model Synchronizer + Model Manager component;backend code;data model;;;"""Coping with the dynamic and uncertain characteristics of the physical world (i.e., faced by the real-twin)""";"Simulation; Reasoning";None;Design;Individual Systems;As-Designed;;;TRL 1-3;very high-level concept, no application to a particular example/domain, no example models given;
On the Engineering of IoT-Intensive Digital Twin Software Systems;;;;;;;behavior;;;;;;Model Interpretation;;behavioral model of the PT;structural model;data model;PT;Model Synchronizer + Model Manager component;backend code;;;;;;;Design;;As-Designed;;;;;
Proof of Concept for a Roundtrip Engineering IS for the New Enterprise in the Industry 4.0 Era;"""The concept of Digital Twin is reserved for denoting a digital representation which is fully integrated with its Physical Twin (i.e. data flow between the physical object and the digital object in both directions) [4]. Likewise, we understand the Digital Twin as a software component that is i) model and data driven (it gets inputs from both cyber and physical objects; i.e., it can be a model that gets input from another model or from a physical object) and ii) can control physical devices (can operate on them). """;Comprehensive;DT;;BPMN;;behavior;BPMN;;behavior;structure or behavior;Behavior;Code Generation;;BPMN;behavior model;process;;Python Drone control code;backend code;data model;;;;;Transportation and Storage;Implement;Individual Systems;As-Designed;;;TRL 1-3;;Drone fleet
Reliable Counterparts: Efficiently Testing Causal Relationships in Digital Twins;"""Digital twins rely on models to accurately represent their physical counterpart, accepting real-time data from the coupled physical system and relaying feedback to provide more informed functionality""; ""Digital twins are an emerging technology. They use data-driven and physics-based simulation to model, communicate with and provide additional functionality to their coupled physical system""";;;;;;;;;;;;Model Interpretation;;Causal Directed Acyclic Graphs (DAG);behavior model;state-based;;Inference Engine;backend code;data model;;perform causal inference based on DAG and runtime data;;;Manufacturing;Test;Individual Systems;As-Designed;"DTs use ""models to accurately represent their physical counterpart""";;TRL 1-3;;Robotic arm
Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;;;;;OWL Ontology;;rule;OWL Ontology;;data;structure or behavior;Ontology;Model to Model Transformation;;OML;structural model;data model;;UML Stereotypes;visualization software;database;;;AAS model, enriched with semantic annotations based on OWL ontology;Specific;Manufacturing;Design;;As-Designed;;;TRL 1-3;;robotic cell (niryo ned for gripping + turtlebot for transportation)
Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;;;;;OML Vocabulary;;structure;OML Vocabulary;;data;data, architecture, ontology, UI configuration;Ontology;Model to Model Transformation;;AAS;structure + behavior;ontology model;;OWL Individuals (MaRCO);backend code;ontology model;;;;;;Design;;As-Designed;;;;;
Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;;;;;AAS;;structure;AAS;;ontology;logical or physical;Structure;Model Interpretation;;OWL Ontology + OWL Individuals;structural model;data model;;capability matchmaker;structural model;ontology model;;;;;;Design;;As-Designed;;;;;
Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;;;;;OWL Individuals;instantiated OWL ontology;structure;OWL Individuals;;ontology;logical or physical;Ontology;Model Interpretation;;AAS Model;structure + behavior;ontology model;;user interface created by the authors (cf. Section 4.C);structural model;;;;;;;Design;;As-Designed;;;;;
Supporting Digital Twins for the Retrofit in Aviation by a Model-Driven Data Handling;"""the digital twin is described more generally as a concept, which describes the linkage between (aspects of) a physical product or object and its virtual representation""";;;;SysML;;data model;SysML;;behavior;structure or behavior;Structure;Model to Model Transformation;;SysML (csv representation);structural model;data model;;SysML (Graph Database entries);database;data;;"""model-driven approach to support data handling in aviation""";"""digital twins of specific aircraft focusing on the information needed for the retrofit""";;Transportation and Storage;Maintain;Individual Systems;As-Operated;"single-source-of-truth aspect of system models; creation of these models can be performed by engineers with no expertise in programming; "" digitized single source of truth"", ""This makes the previously mostly analog information digitally available during the retrofit.""";"""implementation of graph algorithms to source information from the complete set of information"" (similarities between related aircraft could be automatically identified)";TRL 1-3;;Aircraft cabine refitting
Supporting the Implementation of Digital Twins for IoT-Enhanced BPs;"""This work considers two main features of a digital twin system: (1) the representation and storage of the characteristics of real-world entities in a structured form, and (2) the runtime synchronisation between digital and real-world entities.""; ""A Digital Twin (DT) is a virtual representation of real-world entities (physical objects and systems, or immaterial things that exist over a significant time span) and processes (events or activities that occur in time), synchronised at a specified frequency and fidelity
[1]. It connects with the physical part allowing data transfer from the physical to the digital part and vice versa, in such a way that it can represent, simulate, or predict changes in the physical system.""";;;;BPMN;;behavior;BPMN;;behavior;structure or behavior;Behavior;Model to Model Transformation;;BPMN Model;behavior model;process;;DTDL Model;structural model;data;;"we propose a Model-Driven approach to support the creation
of the software artefacts required to represent, store and synchronise at runtime the
characteristics of real-world entities in IoT-enhanced BPs DTs.";"""This work considers two main features of a digital twin system: (1) the representation and storage of the characteristics of real-world entities in a structured form, and (2) the runtime synchronisation between digital and real-world entities.""";;Accommodation;Design;Systems of Systems;As-Designed;;;TRL 1-3;;CO2 Measurement
Supporting the Implementation of Digital Twins for IoT-Enhanced BPs;;;;;DTDL;;data model;DTDL;;architecture;data, architecture, ontology, UI configuration;Structure;Code Generation;;BPMN Model;behavior model;process;;java template code for microservices;backend code;;;;;;;Implement;;As-Designed;;;;;
The Framework for Designing Autonomous Cyber-Physical Multi-agent Systems for Adaptive Resource Management;A â€œDigital Twin-based Cyber-Physical Production System (DT-CPPS)â€ is introduced as a configuring mechanism, operating mechanism and real-time data-driven operation control.;;;;;;ontology;;;ontology;data, architecture, ontology, UI configuration;ontology;Model Interpretation;;Knowledge Base Model;structure + behavior;ontology model;PT;Simulator;software;simulation code;;;management of resources as well as what-if simulations ;;;Design;;As-Designed;;;;;
The Framework for Designing Autonomous Cyber-Physical Multi-agent Systems for Adaptive Resource Management;;;;;;;;;;;;;Model Interpretation;;Knowledge Base Model;structure + behavior;ontology model;PT;Scheduling Engine;software;backend code;;;management of resources as well as what-if simulations ;;;Design;;As-Designed;;;;;
The Framework for Designing Autonomous Cyber-Physical Multi-agent Systems for Adaptive Resource Management;;;;;;;;;;;;;Model to Model Transformation;;Knowledge Base Model;structure + behavior;ontology model;PT;Knowledge Base Model (updated with runtime data);structure + behavior;ontology model;PT;;management of resources as well as what-if simulations ;;;Design;;As-Designed;;;;;
The OMiLAB Digital Innovation environment: Agile conceptual models to bridge business value with Digital and Physical Twins for Product-Service Systems development;Digital and Physical Twins, with a lifecycle and interfacing needed to transfer data between them in the context of Product Lifecycle Management (Grieves, 2019);;;;;;structure;BPMN, ER, UML;;behavior;structure & behavior;structure;Model Interpretation;;BPMN;behavior model;state-based;PT;;PT;;;;"It can capture conceptualizations of digital servitization and can bridge them with proof-of-concept engineering in order to simulate and evaluate the smart services"" of an innovative PSS""";;Education;Design;Individual Systems;As-Designed;;;TRL 4-6;;
Towards a Digital Twin for Cyber-Physical Production Systems: A Multi-Paradigm Modeling Approach in the Postal Industry;"""However, the characteristics commonly associated to the DT are that it must be able to 1) behave like the real system during its entire life cycle, 2) allow to predict possible failures and 3) take autonomous decisions accordingly. Moreover, it appears to be fundamental to have a seamless connection and synchronization between the DT and the system.""";;DT;;BPMN;;behavior;BPMN;;behavior;structure or behavior;Behavior;Model to Model Transformation;;BPMN;behavior model;process;;Activity Diagram;behavior model;data model;;"Multi-paradigm modeling: convert BPMN Model into an executable AD; Multi-paradigm modeling: extract structural information from AD";"""emulate the sorting CPPS via Multi-Agent System""";Specific;Administrative;Design;Processes;As-Designed;;;TRL 1-3;;sorting robot of a postal center
Towards a Digital Twin for Cyber-Physical Production Systems: A Multi-Paradigm Modeling Approach in the Postal Industry;;;;;UML Activity Diagram;;behavior;UML Activity Diagram;;behavior;structure or behavior;Behavior;Model to Model Transformation;;Activity Diagram;behavior model;state-based;PT;Class Diagram;structural model;ui configuration model;;;;;;Design;;As-Designed;;;;;
Towards a Digital Twin for Cyber-Physical Production Systems: A Multi-Paradigm Modeling Approach in the Postal Industry;;;;;UML Class Diagram;;;UML Class Diagram;;architecture;data, architecture, ontology, UI configuration;Structure;;;;;;;;;;;;;;;;;;;;;;
Towards a Model-Driven Architecture for Interactive Digital Twin Cockpits;"""A digital twin of a system consists of a set of models of the system, a set of digital shadows and their aggregation and abstraction collected from a system, and a set of services that allow using the data and models purposefully with respect to the original system. """;Comprehensive;DS;;MontiArc;;structure;MontiArc;;architecture;data, architecture, ontology, UI configuration;Architecture;Code Generation;;CD;structural model;architecture model;software;Java Code;backend code;;;;;;Manufacturing;Implement;Individual Systems;As-Designed;no manual writing of code needed, because code generation can be applied;;TRL 1-3;;
Towards a Model-Driven Architecture for Interactive Digital Twin Cockpits;;;;;MontiGem GUI Model;;structure;MontiGem GUI Model;;architecture;data, architecture, ontology, UI configuration;UI Configuration;Code Generation;;GUI Model;structural model;data model;software;DT cockpits;backend code;;;;;;;Implement;;As-Designed;;;;;
Towards a Model-Driven Architecture for Interactive Digital Twin Cockpits;;;;;Class Diagram;;structure;UML Class Diagram;;ui configuraiton;data, architecture, ontology, UI configuration;Structure;Code Generation;;MontiArc model;structural model;ui configuraiton model;;system architecture;visualization software;;;;;;;Implement;;As-Designed;;;;;
Towards Reactive Planning with Digital Twins and Model-Driven Optimization;"""DTs enable a bi-directional data flow between a physical system and its virtual representation, requiring different software components to enable this communication""";;DT;;EMF Meta-Models; + according Models;structure;EMF Meta-Models;;ontology;data, architecture, ontology, UI configuration;Structure;Model Interpretation;;Henshin model;behavior model;state-based;;Digital Twin;backend code;;;;provide an interface to both simulation and PT;Interface;None;Operate;Individual Systems;"As-Designed;As-Operated";;;TRL 1-3;application to generic optimization problem - no specific domain;
Twin Process Model Driven Machining Quality Optimization for Complex Parts;"""Digital twin is an efficient method to realize simulation, monitoring and control of multi scale and physical quantity.""";;DS;;Twin Process Model;Twin Process Model = model containing structural and behavioral (process) information, stored as XML, but no language/metamodel described;structure;Twin Process Model;;ontology;structure or behavior;Behavior;Code Generation;;Twin Process Model;behavior model;process;;Numeric Control (NC)Code;simulation code;;;;"efficiently realizes ""simulation, monitoring and control of multi scale and physical quantity""";"Simulation; Reasoning";Manufacturing;Operate;Individual Systems;As-Designed;;;TRL 1-3;;
TwinOps - DevOps Meets Model-Based Engineering and Digital Twins for the Engineering of CPS;"""Digital Twins. consist of three components, a physical product, a virtual representation of that product, and the bi-directional data connections that feed data from the physical to the virtual representation, and information and processes from the virtual representation to the physical"" ";;;;SysML;;;SysML;;behavior;structure or behavior;Structure;Model to Model Transformation;;SysML;behavior model;state-based;;AADL;structural model;;;"""critical impacts of automated code generation on the engineering of embedded software in both increased confidence in produced software and fast delivery. """;support system continuous improvement and maintenance through the analysis of runtime logs and their comparison to system optimal performance.;;Accommodation;Design;Systems of Systems;As-Designed;"enable simulation; ""Models can address some of these concerns: systems engineering models to capture system requirements, its interface, and theirmdecomposition into subsystems; simulation models to evaluate the system general behavior; engineering models to move forward towards the realization of the system""";;TRL 1-3;;hypothetical monitoring system for a building
TwinOps - DevOps Meets Model-Based Engineering and Digital Twins for the Engineering of CPS;;;;;AADL;;;AADL;;;;Architecture;Code Generation;;AADL;structural model;architecture model;software;Azure code that is used to execute the system and perform monitoring (I think that both aspects are the same);backend code;;;;;;;Implement;;As-Designed;;;;;
TwinOps - DevOps Meets Model-Based Engineering and Digital Twins for the Engineering of CPS;;;;;;;;;;ontology;data, architecture, ontology, UI configuration;;Code Generation;;AADL;structural model;architecture model;software;LNT model (used for model checking);backend code;;;;;;;Implement;;As-Designed;;;;;
TwinOps - DevOps Meets Model-Based Engineering and Digital Twins for the Engineering of CPS;;;;;;;;;;;;;Code Generation;;AADL;structural model;architecture model;software;FMI device mock-ups;behavior model;;;;;;;Implement;;As-Designed;;;;;
Understanding and Improving Model-Driven IoT Systems through Accompanying Digital Twins;"""A digital twin (DT) of a system consists of a set of models of the system, a set of contextual data traces and/or their aggregation and abstraction collected from a system, and a set of services that allow using the data and models purposefully with respects to the original system.""; ""Digital twins (DTs) are digital representations of cyber-physical systems. They monitor systems to offer services to analyze, control, and optimize the system. Alas, there is no commonly agreed on definition of DTs""";Comprehensive;DS;;MontiThings;;structure;MontiThings;;;;Architecture;Model to Model Transformation;;MontiThings model or real system;structural model;architecture model;software;MontiThings model or reproduced system;backend code;;;"""generates a reproduction model from the original models and the system traces. Developers can use the reproduction model to retrospectively analyze the system and refine the architecture models for the next iteration""; ""One of the advantages of our model-driven approach is that there is no manual work involved when recording or replaying system traces.""; Automatically generate controller code";" collect  required data; ""The DT collects data from the generated IoT code, reproduces the data traces, adapts the input models accordingly, and re-generates the new software based on the adapted models""";Collect Data?;Accommodation;Operate;Individual Systems;As-Operated;;;TRL 1-3;;"smart lawn watering system; heating, ventilation, and air conditioning of a
smart home"
Understanding and Improving Model-Driven IoT Systems through Accompanying Digital Twins;;;;;;;structure;;;architecture;data, architecture, ontology, UI configuration;;Code Generation;;MontiThings;structural model;architecture model;software;IoT controller code in C++;architecture model;;;;;;;Implement;;As-Operated;;;;;
Using Trace Alignments for Measuring the Similarity between a Physical and Its Digital Twin;;;;;;;structure;UML CD;;architecture;data, architecture, ontology, UI configuration;structure;Model Interpretation;;"OD (Snapshot); CD (snapshot metamodel)";structural model;data model;PT, Software;Type Checking Algorithm;software;backend code;;Validate OD against CD;;;Transportation and Storage;Operate;Individual Systems;As-Operated;;;TRL 1-3;;Lego Mindstorms Car
Using Trace Alignments for Measuring the Similarity between a Physical and Its Digital Twin;;;;;;;structure;UML OD;;architecture;data, architecture, ontology, UI configuration;structure;Model Interpretation;;OD (Snapshot of PT and DT);structural model;data model;PT, Software;Trace Alignment Algorithm;algorithm;backend code;;measure fidelity of DT compared to PT;;;Manufacturing;Operate;Individual Systems;As-Operated;;;TRL 1-3;;Robotic arm
Using UML and OCL Models to Realize High-Level Digital Twins;"""A Digital Twin (DT) is a comprehensive digital representation of an actual system, service or product (the Physical Twin, PT), synchronized at a specified frequency and fidelity""";Comprehensive;DT;;UML CD + OCL constraints;;structure;UML CD + OCL constraints;;architecture;data, architecture, ontology, UI configuration;Structure;Model Interpretation;;UML class diagram;structural model;data model;software;uml cd adapter that interprets CD and adapts a data lake accordingly (data lake stores data from the PT);backend code;;;adapt a data lake according to CD;"DT = UML class diagram; configures data lake that stores data from PT, which should be used by different services";Collect Data?;Transportation and Storage;Operate;;As-Designed;;;TRL 1-3;;lego mindstorms car
Workshop Management and Control System Based on Digital Twin; Digital twin is based on physical entities, virtual entities, service, twin data and the data interaction between them. It realizes the interconnection and intercommunication of physical workshops and information workshops, and builds physical planning and design, motion monitoring and other capabilities through data and information models;;;;;;;;;;;;Model Interpretation;;dt physical model;data model;structure model;PT;DT Simulation;software;simulation code;;simulation;Debugging of PLC;;Manufacturing;Implement;Individual Systems;As-Designed;;;TRL 4-6;;
Workshop Management and Control System Based on Digital Twin; Digital twin is based on physical entities, virtual entities, service, twin data and the data interaction between them. It realizes the interconnection and intercommunication of physical workshops and information workshops, and builds physical planning and design, motion monitoring and other capabilities through data and information models;;;;;;;;;;;;Model Interpretation;;geometric model;data model;structure model;;DT Simulation;software;simulation code;;simulation;Debugging of PLC;;Manufacturing;Implement;Individual Systems;As-Designed;;;TRL 4-6;;
Workshop Management and Control System Based on Digital Twin; Digital twin is based on physical entities, virtual entities, service, twin data and the data interaction between them. It realizes the interconnection and intercommunication of physical workshops and information workshops, and builds physical planning and design, motion monitoring and other capabilities through data and information models;;;;;;;;;;;;Model Interpretation;;behavior model;behavior model;;PT;DT Simulation;software;simulation code;;simulation;Debugging of PLC;;Manufacturing;Implement;Individual Systems;As-Designed;;;TRL 4-6;;
;;;;;;;;;;;;;;;;data model;behavior model;PT;;software;backend code;;;;;;;;;;;;;
