Title;modeling language;model type;model processing technique;model usage technique;direction;source;target;purpose of MDE technique;purpose of DT;domain;system lifecycle phase;twinning target;twin lifecycle phase;DT Definition;purpose /expected benefit of using models;open challenges;TEchnological REadiness Level;
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;MontiArc / MontiGem (useing UML);structure;code generation;tagging;;MontiArc;GPL-code;Reducing the effort for engineering the communication interfaces between CPS and DTs implemented as information systems;to manage a CPS;J ó Information and Communication;Design, Implement;Individual Systems, such as automated cars (Atorf and Roﬂmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;DTs are digital representations of cyber-physical assets or processes that enable advanced control, decision making, and optimization.;Reducing the effort for engineering the communication interfaces between CPS and DT implemented as information systems;Although model-driven software engineering (MDSE) provides the necessary methods to generate these connections, these methods have not yet been applied to integrated development and connection of DTs to CPSs.;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;
Measuring the Fidelity of Digital Twin Systems;;;;;;;;;;;;;;;;;;
Digital Twin as Risk-Free Experimentation Aid for Techno-Socio-Economic Systems;;;;;;;;;;;;;;;;;;
Using Trace Alignments for Measuring the Similarity between a Physical and Its Digital Twin;;;;;;;;;;;;;;;;;;
Towards a Digital Twin for Cyber-Physical Production Systems: A Multi-Paradigm Modeling Approach in the Postal Industry;BPMN / UML;behavior;Model to Model Transformation;Multi-Paradigm Modeling;uni;BPMN;UML Activity model;A MPM approach completely driven by the business process;emulate the sorting CPPS via Multi-Agent System;N ó Administrative and Support Service Activities;Operate;Processes, e.g., business processes (Rambow-Hoeschele et al., 2018), medical processes (Karakra et al., 2018), or recycling processes (Popa et al., 2018).;As-Operated;However, the characteristics commonly associated to the DT are that it must be able to 1) behave like the real system during its entire life cycle, 2) allow to predict possible failures and 3) take autonomous decisions accordingly. Moreover, it appears to be fundamental to have a seamless connection and synchronization between the DT and the system.;Correlatively model complementary aspects of the system;-;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;
A Novel Methodology to Construct Digital Twin Models for Spacecraft Operations Using Fault and Behaviour Trees;ODM, BT-model;behavior;Model to Model Transformation;ODM (Operations-Dedicated Model);uni;FT;BT;Construct Operations-Dedicated Models from Fault Trees, using the Behaviour Tree formalism;Contribute to the stationsí architecture and robustness continuous improvement, through increasing its fault detection and mitigation capabilities.;J ó Information and Communication;Operate;Individual Systems, such as automated cars (Atorf and Roﬂmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;A Digital Twin (DT) is a virtual representation of a physical product, asset, process, system, or service that allows us to understand, predict, and optimise their performance for better business outcomes.;Models allow the operators react more quickly and more precisely to alarms raised by the station;-;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;
Understanding and Improving Model-Driven IoT Systems through Accompanying Digital Twins;MontiArc, MontiThings ADL, C&C Architectures;behavior;Model to Model Transformation, code generation;-;uni;MontiThings;Code;One of the advantages of our model-driven approach is that there is no manual work involved when recording or replaying system traces.;Leverage digital twins to collect the required data.;IoT;Operate;Individual Systems, such as automated cars (Atorf and Roﬂmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;A digital twin (DT) of a system consists of a set of models of the system, a set of contextual data traces and/or their aggregation and abstraction collected from a system, and a set of services that allow using the data and models purposefully with respects to the original system.;;-;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;
CPSAML: A Language and Code Generation Framework for Digital Twin Based Monitoring of Mobile Cyber-Physical Systems;SysML2, CPSAML;;Model to Model Transformation, code generation;Multi Paradigm Approach;uni;SysML 2;Code (C++);better support both the system architect and the operator for the development of a mobile CPS. The system architect only keeps the focus on her interests through the introduced DSL, while the operator is supported by the generated cockpit application. In addition, the used code generation should save a lot of implementation effort for developers;;H ó Transportation and Storage;Design;Individual Systems, such as automated cars (Atorf and Roﬂmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;-;"Model engineering abstracts real world concepts in a way,
such that only the relevant properties are left. A model therefore
is a simplified representation of reality. This helps planning and
designing complex systems, as a model should give a common sense
of the underlying system.";;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;
On the Engineering of IoT-Intensive Digital Twin Software Systems;GEMINIS, MRAC, MIAC;structure, behavior;model interpretation;;;;;In our research, we aim to advance the modelling of DTs from a data-driven, control, and MDE-based perspective, in which ML-based descriptive and predictive behaviour, and simulation and experimentation services can be supported, thus providing a platform for the development and extension of IoT-intensive DTSS.;"Coping with the dynamic and uncertain characteristics of
the physical world (i.e., faced by the real-twin)";H ó Transportation and Storage;Operate;Systems of Systems, such as complete factories (Biesinger et al., 2018), oil wells (Kosenkov et al., 2018), or railway systems (Vatn, 2018).;As-Operated;Digital Twins (DT) are software systems representing different aspects of a physical or conceptual counterpartóthe real twin, which is instrumented with several sensors or computing devices that generate, consume and transfer data to its DT with different purposes;;"- Define a DT metamodel with sufficient expressiveness to properly describe the structural characteristics (i.e., observable properties) of a real twin and their relationships with context sources.
- Identify and undertake convenient actions regarding the possible drift of DT models (i.e., inaccuracy of originally expected behaviour).
- Determine when a DT is sufficiently mature to consider switching the control of behavioural models from an MRACbased approach, where simulations are used as reference inputs to adapt the behaviour of DT models, to an MIAC based approach that identifies control parameters using data and knowledge from the operating real twin.
- Propagate required changes in definitions of structural models and address their impact on related behavioural models.
- Enable the composition of DTs into larger DT structures and guarantee the interoperability of DT models.";1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;
A Flexible and Modular Architecture for Edge Digital Twin: Implementation and Evaluation;;;;;;;;;;;;;;;;;;
Enabling Semantic Interoperability of Asset Administration Shells through an Ontology-Based Modeling Method;AAS, UML, OML;behavior;Model to Model Transformation;General concepts Mapping;bi;AAS;OWL;need to fill the gap regarding semantic interoperability, in order to allow efficient interactions between Industry 4.0 components.;, the Asset Administration Shell (AAS), provides a syntactic interoperability interface for all assets involved in smart factories;C ó Manufacturing;Operate;Individual Systems, such as automated cars (Atorf and Roﬂmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;AAS;;-;0;
Challenges and Possible Approaches for Sustainable Digital Twinning;;;;;;;;;;;;;;;;;;
Coordination and Explanation of Reconfigurations in Self-Adaptive High-Performance Systems;;;;;;;;;;;;;;;;;;
Case Study on Automated and Continuous Reliability Assessment of Software-Defined Manufacturing Based on Digital Twins;SysML v2, OpenPRA, FT, XML;structure, behavior;Model to Model Transformation;Our M2M transformation algorithm parses a SysML v2 file and searches for keywords;uni;SysML v2;hybrid reliability models;It provides system engineers with the capability to design and visualize models for various aspects of hardware and software systems and their components.;They serve to monitor, better understand and optimize the behavior of their respective counterparts.;C ó Manufacturing;Operate;Individual Systems, such as automated cars (Atorf and Roﬂmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;A digital twin is a software system consisting of models, data, and services to interact with a cyber-physical system for a particular purpose;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;
Integration of SysML Models in a 3D Environment for Virtual Testing and Validation;"SysML,  levels of
detail (LOD) mechanism";structure;Model to Model Transformation;;uni;SysML v2;3D environment;The growing system complexity requires the implementation of new development methods to keep time, quality, and costs under control. ModelñDriven Systems Engineering (MDSE) [8] addresses the complexity of the system with a model-centric engineering methodology.;;D ó Electricity, Gas, Steam and Air Conditioning Supply;Design, Implement, Test;Individual Systems, such as automated cars (Atorf and Roﬂmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;A Digital Twin is a digital 3D - CAD replica of a living or non-living physical entity, allowing to replicate the same behavior as that of the actual component.;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;
Modular Fault Ascription and Corrective Maintenance Using a Digital Twin;;;;;;;;;;;;;;;;;;
Generating customized low-code development platforms for digital twins;MontiGem;;code generation, model interpretation;low.code development;;MontiGem;LowCode DT;generate tailored LCDPs (Low-Code Development Platforms);Leveraging DTs that monitor and control the system of interest can reduce configuration time, save energy, and prevent waste.;C ó Manufacturing;Operate;Individual Systems, such as automated cars (Atorf and Roﬂmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;"A digital twin is ""a set of models of the system, a set of digital shadows and their aggregation and abstraction collected from a system, and a set of services that allow using the data and models purposefully with respect to the original system""";The models we use for configuration are more abstract than programming languages and allow domain experts to create powerful full digital twin applications nonetheless.;DT as part of an ecosystem;"4-5: das Ding l‰uft ""im Labor""";
A data-model fusion dispatch strategy for the building energy flexibility based on the digital twin;;;;;;;;;;;;;;;;;;
Meta-model-based shop-floor digital twin architecture, modeling and application;MOF, SysML;behavior;model interpretation;meta-model concept;;;;;DT has a strong vitality in the whole product lifecycle and could provide strong support for the digital and intelligent transformation of manufacturing industry in the aspects of virtual model construction and cyber-physical information fusion.;C ó Manufacturing;Operate;Systems of Systems, such as complete factories (Biesinger et al., 2018), oil wells (Kosenkov et al., 2018), or railway systems (Vatn, 2018).;As-Designed;Shop-floor Digital Twin (SDT), as the digital counterpart of physical entities including the humans, machines, material, methods and environments in the existing shop-floor, mirrors the physical shop-floor behavior and performance in the virtual space. The digital counterpart is comprised of a series of semantic digital models and simulation models of the physical shop-floor and has the automatic data synchronization between the physical and virtual space. By establishing the automatic data flow between the physical shop-floor and digital counterpart, the semantic digital models and simulation models could be converted to digital shadow and further evolved into SDT.;;;;
3D crowdsourced parametric cadastral mapping: Pathways integrating BIM/IFC, crowdsourced data and LADM;;;;;;;;;;;;;;;;;;
Generating Digital Twin Cockpits for Parameter Management in the Engineering of Wind Turbines;MontiGem;structure, behavior;Model to Model Transformation, code generation;;uni;UML, MontiGem;Source Code;MDE therefore aims at exploiting the ideas introduced in mechanical design theory, that a system realizes a function by transforming energy, material, and data;The functional part of the digital twin was out of focus of this project The generated DT cockpit is intended to use in combination with other services? which allow for predictive control,model the behavior of physical systems? and can in?uence the physical system;D ó Electricity, Gas, Steam and Air Conditioning Supply;Operate;Individual Systems, such as automated cars (Atorf and Roﬂmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;ìa digital twin of a system consists of a set of models of the system? a set of digital shadows? and provides a set of services to use the data and models purposefully with respect to the original systemî;Suitable models in the early phase are engineering models and models to describe behaviorÇtoÇbe? that can be simulated and analyzedã;;"4-5: das Ding l‰uft ""im Labor""";
Digital Twin Enables Rational Design of Ultrahigh-Power Lithium-Ion Batteries;;;;;;;;;;;;;;;;;;
A framework for Model-Driven Engineering of resilient software-controlled systems;SysML BDD, JARVIS, FT;structure;Model to Model Transformation;correct-by-construction strategy;uni;SysML BDD;Knowlegde Base;ollowing the proposed MDE approach, structural aspects of system configuration are preserved by construction guaranteeing that the meta-model complies to, and is isomorphic with, the structure of the specification artifact.;Software digital twins representations provide a key abstraction, providing an agile interface on hardware components, capturing operational behaviours of physical assets and processes, also providing refined and interpreted data, to enable diagnoses, predictive maintenance tasks, process plannings, process optimizations, virtual prototyping, and simulation.;H ó Transportation and Storage;Operate;Individual Systems, such as automated cars (Atorf and Roﬂmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;In [29], the definition, the role and the architectural aspects of digital twins in IIoT systems are elaborated.;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;
Model-Driven Development of a Digital Twin for Injection Molding;MontiArc, MontiCore;structure;code generation;tagging;uni;MontiArc;Java;Model-driven engineering (MDE) bridges the gap between the production and software domain by using models that describe the DT at multiple levels of abstraction;The DT gathers relevant data and transmits commands to the machine to change to the machine configuration;C ó Manufacturing;Operate, Maintain;Individual Systems, such as automated cars (Atorf and Roﬂmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;A digital twin of a system consists of a set of models of the system, a set of digital shadows, and provides a set of services to use the data and models purposefully with respect to the original system.;The presented method relies on models describing the DTís situations (events) and reactions.;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;
The Framework for Designing Autonomous Cyber-Physical Multi-agent Systems for Adaptive Resource Management;;;;;;;;;;;;;;;;;;
A software engineering point of view on digital twin architecture;;;;;;;;;;;;;;;;;;
Process Prediction with Digital Twins;;;;;;;;;;;;;;;;;;
AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML;AML, Azure;structure;Model to Model Transformation, code generation;;uni;AML;DT models;Model-Driven Engineering (MDE) applies the abstraction power of models to tackle the complexity of systems [16], [17], and thus, is by definition related to the concept of DTs;By integrating the digital and physical worlds, the DT enables real-time monitoring of systems and processes and helps, for example, to reduce downtimes and detect errors at an early stage;J ó Information and Communication;Operate, Maintain;Individual Systems, such as automated cars (Atorf and Roﬂmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;A DT is a dynamic virtual model of a system, processor, or service, with data (e.g., sensor data) from physical systems or processes integrated into it.;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;
Twin Process Model Driven Machining Quality Optimization for Complex Parts;???;structure;Model to Model Transformation;;uni;NC;XML;;;C ó Manufacturing;Operate;Individual Systems, such as automated cars (Atorf and Roﬂmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;Digital twin is an efficient method to realize simulation, monitoring and control of multi scale and physical quantity;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;
Multisource Model-Driven Digital Twin System of Robotic Assembly;;;;;;;;;;;;;;;;;;
Interface Management with Closed-Loop Systems Engineering (CLOSE);;;;;;;;;;;;;;;;;;
Urban Intelligence: Toward the Digital Twin of Matera and Catania;;;;;;;;;;;;;;;;;;
Developing a Physical and Digital Twin: An Example Process Model;;;;;;;;;;;;;;;;;;
Combining Low-Code Programming and SDL-Based Modeling with Snap! in the Industry 4.0 Context;SDL, Snap!;behavior;Model to Model Transformation;low code;uni;SDL;Snap!, GPL;breaking silos;Digital Twin is becoming a core element of model-based systems engineering;P ó Education;Design;Processes, e.g., business processes (Rambow-Hoeschele et al., 2018), medical processes (Karakra et al., 2018), or recycling processes (Popa et al., 2018).;As-Operated;A Digital Twin is defined as a virtual reproduction of a system based on simulations, either with real-time or historical data, that allows representing, understanding, and predicting scenarios of the past, present, and future, with verified and validated models, and synchronized at a specified frequency and fidelity with the system;;;"4-5: das Ding l‰uft ""im Labor""";
