Title;Reason Jerome;Reason Daniel;Reason Jingxi;Reason Ann;Reason_Consolidated
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;OK;OK;OK;OK;OK
Towards a Digital Twin for Cyber-Physical Production Systems: A Multi-Paradigm Modeling Approach in the Postal Industry;OK;No MDE technique used;;OK;Challenge/Position Paper
Generating customized low-code development platforms for digital twins;OK;OK;;OK;No MDE technique used
Meta-model-based shop-floor digital twin architecture, modeling and application;No MDE technique used;OK;;OK;No Model used
Generating Digital Twin Cockpits for Parameter Management in the Engineering of Wind Turbines;OK;OK;;OK;OK
A framework for Model-Driven Engineering of resilient software-controlled systems;No MDE technique used;OK;;OK;No MDE technique used
Model-Driven Development of a Digital Twin for Injection Molding;OK;OK;;OK;OK
Model-driven engineering city spaces via bidirectional model transformations;OK;OK;OK;;No MDE technique used
Towards Reactive Planning with Digital Twins and Model-Driven Optimization;OK;OK;OK;;OK
Towards a Model-Driven Architecture for Interactive Digital Twin Cockpits;OK;OK;OK;;No MDE technique used
Generative and Model-driven SDK development for the Industrie 4.0 Digital Twin;OK;OK;OK;;OK
Combining Low-Code Programming and SDL-Based Modeling with Snap! in the Industry 4.0 Context;OK;;TODO;OK;No MDE technique used
A Methodology for Digital Twin Modeling and Deployment for Industry 4.0;OK;;TODO;OK;OK
Automated Model Transformation in modeling Digital Twins of Industrial Internet-of-Things Applications utilizing AutomationML;OK;;TODO;OK;OK
A Novel Methodology to Construct Digital Twin Models for Spacecraft Operations Using Fault and Behaviour Trees;;OK;OK;OK;No MDE technique used
Understanding and Improving Model-Driven IoT Systems through Accompanying Digital Twins;;OK;OK;OK;No MDE technique used
CPSAML: A Language and Code Generation Framework for Digital Twin Based Monitoring of Mobile Cyber-Physical Systems;;OK;OK;OK;OK
On the Engineering of IoT-Intensive Digital Twin Software Systems;;OK;OK;OK;No MDE technique used
AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML;;OK;OK;OK;OK
Twin Process Model Driven Machining Quality Optimization for Complex Parts;;OK;OK;OK;Challenge/Position Paper
Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;OK;OK;OK;;No MDE technique used
Digital Twin of an Electrical Motor Based on Empirical Performance Model;;OK;OK;OK;Challenge/Position Paper
Using UML and OCL Models to Realize High-Level Digital Twins;;OK;OK;OK;Challenge/Position Paper
Interface Development for Digital Twin of an Electric Motor Based on Empirical Performance Model;;OK;No MDE technique used;OK;OK
Knowledge driven rapid development of white box digital twins for industrial plant systems;OK;OK;OK;;No MDE technique used
Enabling Semantic Interoperability of Asset Administration Shells through an Ontology-Based Modeling Method;;OK;OK;OK;No MDE technique used
Case Study on Automated and Continuous Reliability Assessment of Software-Defined Manufacturing Based on Digital Twins;OK;;Challenge/Position Paper;OK;OK
Integration of SysML Models in a 3D Environment for Virtual Testing and Validation;;OK;OK;OK;No Model used
Digital Twin Operational Platform for Connectivity and Accessibility using Flask Python;No Model used;No MDE technique used;No Model used;;No Model used
Data- and model-driven digital twins for design and logistics control of product distribution;No Model used;No MDE technique used;No MDE technique used;;No MDE technique used
Interface Management with Closed-Loop Systems Engineering (CLOSE);No MDE technique used;No MDE technique used;;No MDE technique used;No MDE technique used
Urban Intelligence: Toward the Digital Twin of Matera and Catania;No MDE technique used;;;No MDE technique used;No MDE technique used
Developing a Physical and Digital Twin: An Example Process Model;No MDE technique used;;;No MDE technique used;No MDE technique used
Combining Low-Code Programming and SDL-Based Modeling with Snap! in the Industry 4.0 Context;OK;;;OK;OK
A Methodology for Digital Twin Modeling and Deployment for Industry 4.0;OK;;;OK;OK
Digital Twins Driving Model Based on Petri Net in Industrial Pipeline;OK;;;No MDE technique used;
Automated Model Transformation in modeling Digital Twins of Industrial Internet-of-Things Applications utilizing AutomationML;OK;;;OK;OK
Digital Twin Service Unit for AC Motor Stator Inter-Turn Short Circuit Fault Detection;No MDE technique used;;;No MDE technique used;No MDE technique used
DataTime: a Framework to smoothly Integrate Past, Present and Future into Models;No MDE technique used;;;No MDE technique used;No MDE technique used
AAS Capability-Based Operation and Engineering of Flexible Production Lines;No MDE technique used;;;No MDE technique used;No MDE technique used
An AAS Modeling Tool for Capability-Based Engineering of Flexible Production Lines;No MDE technique used;;;No MDE technique used;No MDE technique used
Learning to Predict and Optimize Imperfect MIMO System Performance: Framework and Application;No MDE technique used;;;No MDE technique used;No MDE technique used
Proof of Concept for a Roundtrip Engineering IS for the New Enterprise in the Industry 4.0 Era;Short Paper (Extended Abstract): <4 Seiten;;;OK;
Holistic Network Virtualization and Pervasive Network Intelligence for 6G;No MDE technique used;;;Challenge/Position Paper;
A neural control of the parallel Gas Turbine with differential link;No MDE technique used;;;No MDE technique used;No MDE technique used
The THREAT-ARREST Cyber Range Platform;No Model used;;;No MDE technique used;No MDE technique used
A Novel Methodology to Construct Digital Twin Models for Spacecraft Operations Using Fault and Behaviour Trees;;OK;OK;OK;OK
Understanding and Improving Model-Driven IoT Systems through Accompanying Digital Twins;;OK;OK;OK;OK
CPSAML: A Language and Code Generation Framework for Digital Twin Based Monitoring of Mobile Cyber-Physical Systems;;OK;OK;OK;OK
On the Engineering of IoT-Intensive Digital Twin Software Systems;;OK;OK;OK;OK
A Flexible and Modular Architecture for Edge Digital Twin: Implementation and Evaluation;;No Model used;No Model used;No Model used;No Model used
Semantic digital twins for organizational development;;No implementation (e.g. Challenge/Position Paper);Challenge/Position Paper;;Challenge/Position Paper
"A pattern catalog for augmenting Digital Twin models with behavior; [Ein Musterkatalog zur Erweiterung von digitalen Zwillingsmodellen um Verhaltenssichten]";;OK;OK;;OK
Ensuring consistency in scalable-detail models for DT-based control;;No MDE technique used;No MDE technique used;;No MDE technique used
The OMiLAB Digital Innovation environment: Agile conceptual models to bridge business value with Digital and Physical Twins for Product-Service Systems development;;OK;Not Available;;
Digital twin enhanced human-machine interaction in product lifecycle;;No MDE technique used;Challenge/Position Paper;;
A software engineering point of view on digital twin architecture;;No MDE technique used;Challenge/Position Paper;Challenge/Position Paper;
Process Prediction with Digital Twins;;OK;Challenge/Position Paper;Challenge/Position Paper;Challenge/Position Paper
AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML;;OK;OK;OK;OK
Twin Process Model Driven Machining Quality Optimization for Complex Parts;;OK;OK;OK;OK
Multisource Model-Driven Digital Twin System of Robotic Assembly;;No MDE technique used;No MDE technique used;No MDE technique used;No MDE technique used
Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;;OK;OK;;OK
A Lightweight Model-driven MES Simulation Framework Based On Probabilistic Finite Automata;;No MDE technique used;OK;;OK
Digital Twin of an Electrical Motor Based on Empirical Performance Model;;OK;OK;;OK
Closed-Loop Systems Engineering (CLOSE): Integrating Experimentable Digital Twins with the Model-Driven Engineering Process;;No MDE technique used;No MDE technique used;;No MDE technique used
Research on Modeling Method of System Reliability Digital Twin;;No MDE technique used;No MDE technique used;;No MDE technique used
Improved Electric Vehicle Digital Twin Performance Incorporating Detailed Lithium-ion Battery Model;;No MDE technique used;No MDE technique used;;No MDE technique used
Workshop Management and Control System Based on Digital Twin;;No MDE technique used;No MDE technique used;;No MDE technique used
Using UML and OCL Models to Realize High-Level Digital Twins;;OK;OK;;OK
Interface Development for Digital Twin of an Electric Motor Based on Empirical Performance Model;;OK;No MDE technique used;;
A Model-Driven Approach for Situational Intelligence & Operational Awareness;;No MDE technique used;No MDE technique used;;No MDE technique used
Knowledge driven rapid development of white box digital twins for industrial plant systems;;OK;OK;;OK
Enabling Semantic Interoperability of Asset Administration Shells through an Ontology-Based Modeling Method;;;OK;OK;OK
Challenges and Possible Approaches for Sustainable Digital Twinning;;;Challenge/Position Paper;Challenge/Position Paper;Challenge/Position Paper
Coordination and Explanation of Reconfigurations in Self-Adaptive High-Performance Systems;;;Challenge/Position Paper;Challenge/Position Paper;Challenge/Position Paper
Case Study on Automated and Continuous Reliability Assessment of Software-Defined Manufacturing Based on Digital Twins;;;Challenge/Position Paper;OK;OK
Integration of SysML Models in a 3D Environment for Virtual Testing and Validation;;;OK;OK;OK
